Year, Month, Montreal Airport/Laval, Greater Quebec City, Moncton, Halifax/Dartmouth, St. Johns, 
2008, Apr, 65.9%, 56.7%, 65.3%, 67.3%, 62.9%, 
2008, May, 65.4%, 75%, 69%, 76.8%, 75.6%, 
2008, Jun, 72.1%, 80.4%, 66.8%, 79.9%, 82.5%, 
2008, Jul, 63.9%, 85%, 67.7%, 74.2%, 76.5%, 
2008, Aug, 75.4%, 90.8%, 78.7%, 84.6%, 85.5%, 
2008, Sep, 72.8%, 76.3%, 60.5%, 82.5%, 83.5%, 
2008, Oct, 68%, 75%, 60.5%, 69.2%, 81%, 
2008, Nov, 58.9%, 54.2%, 56.9%, 58.2%, 65.8%, 
2008, Dec, 51.5%, 41.3%, 36%, 40.4%, 44.6%, 
2009, Jan, 51.4%, 39.1%, 37.3%, 41.8%, 44.8%, 
2009, Feb, 56.3%, 58.4%, 51.5%, 54.1%, 52%, 
2009, Mar, 54.7%, 46.7%, 55.4%, 58.7%, 57.1%, 
2009, Apr, 58.7%, 43.6%, 58.2%, 61.7%, 58.9%, 
2009, May, 58.5%, 55%, 54.6%, 66.2%, 72.6%, 
2009, Jun, 61.5%, 63.9%, 59%, 72.6%, 86.3%, 
2009, Jul, 60.8%, 75.7%, 70.4%, 77.8%, 79.1%, 
2009, Aug, 66.8%, 84.9%, 74.1%, 79.3%, 83.8%, 
2009, Sep, 61.1%, 66.8%, 58.2%, 77.6%, 85.4%, 
2009, Oct, 56.8%, 58.2%, 58.4%, 67.7%, 72.1%, 
2009, Nov, 50.9%, 44.7%, 55.5%, 55.8%, 65.4%, 
2009, Dec, 45.1%, 38.8%, 39.1%, 38.7%, 46.2%, 
2010, Jan, 48.8%, 45.3%, 40.1%, 40.1%, 49.5%, 
2010, Feb, 53.8%, 61.8%, 58.4%, 52.5%, 54.5%, 
2010, Mar, 54.3%, 50.1%, 62.5%, 64.4%, 56.8%, 
2010, Apr, 54.7%, 49.6%, 55.4%, 62.3%, 69.6%, 
2010, May, 61.2%, 57.8%, 59.6%, 67.5%, 74.1%, 
2010, Jun, 72.4%, 70%, 62.4%, 77%, 87.2%, 
2010, Jul, 62%, 76.7%, 79.7%, 77.5%, 91.1%, 
2010, Aug, 67.1%, 83.1%, 75.5%, 80.8%, 85%, 
2010, Sep, 65.4%, 73.6%, 65.6%, 85.7%, 81.2%, 
2010, Oct, 61.3%, 62.3%, 64.5%, 69%, 77.4%, 
2010, Nov, 57.4%, 49.9%, 62.6%, 55.9%, 69.6%, 
2010, Dec, 52.4%, 45%, 39.7%, 38.1%, 46.7%, 
2011, Jan, 55.6%, 42.9%, 45.2%, 41.5%, 45.2%, 
2011, Feb, 62.4%, 62.5%, 59.5%, 62.5%, 55%, 
2011, Mar, 62.2%, 49.1%, 62.4%, 60.3%, 59%, 
2011, Apr, 59.2%, 47.3%, 57.3%, 59.7%, 60.9%, 
2011, May, 67%, 62.1%, 61%, 62.6%, 72.8%, 
2011, Jun, 73%, 68.5%, 63.7%, 71.8%, 86.6%, 
2011, Jul, 72.5%, 77.2%, 75.1%, 75.7%, 91.2%, 
2011, Aug, 69.9%, 81.3%, 78.4%, 80%, 90.8%, 
2011, Sep, 67.4%, 76.9%, 64.8%, 79.2%, 87.3%, 
2011, Oct, 63.6%, 63.3%, 61.3%, 67.4%, 75.3%, 
2011, Nov, 60.6%, 51.1%, 59.4%, 60%, 74.8%, 
2011, Dec, 52.4%, 45.8%, 39.3%, 38.8%, 49.9%, 
2012, Jan, 55.8%, 44%, 47.6%, 41.6%, 49.8%, 
2012, Feb, 62.2%, 63.1%, 55%, 53.3%, 58.4%, 
2012, Mar, 61.5%, 51.1%, 64.3%, 62.8%, 65.2%, 
2012, Apr, 63%, 47.3%, 55.2%, 59.8%, 67.8%, 
2012, May, 65.8%, 64.1%, 61.4%, 68.9%, 82.4%, 
2012, Jun, 75.4%, 70.4%, 60%, 71.7%, 86.9%, 
2012, Jul, 63.2%, 76.2%, 71.7%, 79.1%, 88.4%, 
2012, Aug, 73.8%, 82.2%, 82.9%, 84.2%, 88.4%, 
2012, Sep, 67.4%, 74%, 61.1%, 79.3%, 88.6%, 
2012, Oct, 64.6%, 69%, 58.6%, 68.5%, 79.5%, 
2012, Nov, 62.3%, 52.2%, 55.3%, 58.8%, 74.4%, 
2012, Dec, 56.2%, 47.6%, 38.5%, 40.2%, 53.8%, 
2013, Jan, 55.8%, 42%, 41.5%, 42.9%, 59.3%, 
2013, Feb, 65.2%, 59.7%, 52.4%, 54.2%, 67.5%, 
2013, Mar, 60.1%, 51.8%, 59.9%, 60.9%, 66.1%, 
2013, Apr, 63.2%, 49.6%, 56.7%, 62.4%, 73.1%, 
2013, May, 68.32%, 61.58%, 59.7%, 65.43%, 77.51%, 
2013, Jun, 71.5%, 65.8%, 66.2%, 68.9%, 85.3%, 
2013, Jul, 68.6%, 73.9%, 77.6%, 75.8%, 88%, 
2013, Aug, 76.9%, 83.3%, 82.4%, 80.1%, 92.9%, 
2013, Sep, 67.8%, 68.3%, 66.1%, 74.2%, 89%, 
2013, Oct, 68.9%, 64.3%, 61.9%, 67.5%, 82.9%, 
2013, Nov, 62.2%, 51.6%, 64.7%, 58.7%, 78.1%, 
2013, Dec, 56.6%, 44.4%, 38.8%, 40.2%, 48.7%, 
2014, Jan, 57.6%, 43.5%, 45.5%, 43.4%, 47.2%, 
2014, Feb, 64.5%, 58.3%, 53.5%, 54.4%, 52.5%, 
2014, Mar, 62%, 54.4%, 57%, 57.1%, 56.8%, 
2014, Apr, 61.4%, 51.9%, 58.5%, 61.3%, 63.2%, 
2014, May, 71.9%, 64.2%, 61.6%, 67.8%, 68.3%, 
2014, Jun, 74.5%, 69.2%, 65.1%, 70.1%, 85.9%, 
2014, Jul, 72%, 77.3%, 77.9%, 72.6%, 83.7%, 
2014, Aug, 83.1%, 87.6%, 88.8%, 81.3%, 91.3%, 
2014, Sep, 72.8%, 74.3%, 62.3%, 73.5%, 84.1%, 
2014, Oct, 70.4%, 68%, 59.7%, 67.5%, 78.7%, 
2014, Nov, 61.9%, 55.3%, 58.7%, 59.6%, 72.7%, 
2014, Dec, 57.5%, 48.8%, 40.5%, 36.9%, 46%, 
2015, Jan, 57.7%, 44.7%, 44.2%, 40.4%, 46.1%, 
2015, Feb, 66.4%, 64.1%, 52.8%, 51.7%, 53.9%, 
2015, Mar, 63.5%, 50.5%, 56.5%, 59.6%, 55.3%, 
2015, Apr, 65.7%, 51.1%, 56.6%, 63.5%, 64.1%, 
2015, May, 72.5%, 63.4%, 64.3%, 64.7%, 66.3%, 
2015, Jun, 80.5%, 73.5%, 71.2%, 71.5%, 77.8%, 
2015, Jul, 75%, 80.6%, 79.3%, 78.6%, 80.1%, 
2015, Aug, 81.7%, 87.4%, 83.2%, 86%, 85.8%, 
2015, Sep, 77.8%, 81.2%, 66.8%, 84.6%, 78.4%, 
2015, Oct, 73.1%, 67.1%, 61.8%, 68.6%, 68.3%, 
2015, Nov, 62.3%, 54.3%, 61.1%, 59.5%, 62.5%, 
2015, Dec, 58.1%, 50.7%, 41.9%, 42.1%, 43.3%, 
2016, Jan, 61%, 45%, 41.1%, 44.8%, 40.2%, 
2016, Feb, 70.8%, 62.6%, 51.3%, 50.6%, 45.7%, 
2016, Mar, 64.3%, 55.4%, 55.8%, 59.9%, 49%, 
2016, Apr, 69.2%, 55.7%, 64%, 69.4%, 57.6%, 
2016, May, 75.1%, 66%, 64.2%, 68.8%, 63.7%, 
2016, Jun, 80.9%, 75.7%, 69.5%, 80.9%, 83.8%, 
2016, Jul, 82.7%, 82.8%, 81.5%, 86.4%, 80.1%, 
2016, Aug, 85.6%, 87.4%, 87.7%, 90.9%, 78%, 
2016, Sep, 83.4%, 79.9%, 71.9%, 89.1%, 77.3%, 
2016, Oct, 77.9%, 70.8%, 63.6%, 68.6%, 62.4%, 
2016, Nov, 68.7%, 54.2%, 64.4%, 61.8%, 59.7%, 
2016, Dec, 62.5%, 54.4%, 43%, 43.2%, 38%, 
2017, Jan, 66.3%, 49.1%, 47.8%, 44.6%, 37.9%, 
2017, Feb, 72.7%, 65.7%, 52.2%, 55.8%, 45.5%, 
2017, Mar, 69.8%, 54.9%, 64.7%, 70%, 62.9%, 
2017, Apr, 74.3%, 53.7%, 61.6%, 69.3%, 57.8%, 
2017, May, 83.1%, 66.5%, 69.6%, 77.9%, 70%, 
2017, Jun, 87.3%, 73.5%, 69%, 84.4%, 76.7%, 
2017, Jul, 86.7%, 88.3%, 86.2%, 91.4%, 80.9%, 
2017, Aug, 89.7%, 90.1%, 90.7%, 94.4%, 81.1%, 
2017, Sep, 83.2%, 81.2%, 72.2%, 87.7%, 82.1%, 
2017, Oct, 83.2%, 73.7%, 63.3%, 74.7%, 63.7%, 
2017, Nov, 76.3%, 58.1%, 66.3%, 67.3%, 56.8%, 
2017, Dec, 65.8%, 56.3%, 45.8%, 45.2%, 36.3%, 
2018, Jan, 71.2%, 47.9%, 48%, 44.7%, 34.1%, 
2018, Feb, 75.5%, 64.5%, 55.8%, 51.3%, 40.9%, 
2018, Mar, 71.1%, 59.2%, 60.6%, 70.1%, 40.8%, 
2018, Apr, 75.2%, 55%, 59.3%, 70%, 45.7%, 
2018, May, 77.2%, 72.4%, 68.6%, 72.8%, 49.1%, 
2018, Jun, 85.2%, 80.8%, 66.6%, 82.6%, 66.4%, 
2018, Jul, 81.5%, 86.3%, 77.3%, 81.6%, 69.1%, 
2018, Aug, 84.9%, 92%, 87.5%, 92.7%, 65.4%, 
2018, Sep, 81.2%, 82%, 73.1%, 87.2%, 73.2%, 
2018, Oct, 80.4%, 73.5%, 67.7%, 76.8%, 54.1%, 
2018, Nov, 72.2%, 57.1%, 68.9%, 64.5%, 50.7%, 
2018, Dec, 62%, 58.4%, 41.4%, 44%, 36.3%, 
2019, Jan, 64.7%, 47%, 43.2%, 43.9%, 33.4%, 
2019, Feb, 75.5%, 63.3%, 51.6%, 52.2%, 37.3%, 
2019, Mar, 69.9%, 59.3%, 60.6%, 65.5%, 45.2%, 
2019, Apr, 75.7%, 58.5%, 56.7%, 65.9%, 48.8%, 
2019, May, 83.2%, 70.7%, 66.4%, 77.6%, 57.3%, 
2019, Jun, 85.9%, 80%, 66.4%, 83%, 74.3%, 
2019, Jul, 83.2%, 83.1%, 83.9%, 86.2%, 68%, 
2019, Aug, 87.5%, 91.3%, 90.4%, 93.2%, 75%, 
2019, Sep, 84.2%, 81.3%, 69.1%, 88.4%, 73.1%, 
2019, Oct, 81.8%, 77.5%, 63.4%, 76.1%, 58.3%, 
2019, Nov, 75%, 60.4%, 67.3%, 64.7%, 56.5%, 
2019, Dec, 64.6%, 56.4%, 41.5%, 44.7%, 39.1%, 
2020, Jan, 66.2%, 48.1%, 45.3%, 47.5%, 32.2%, 
2020, Feb, 73.9%, 66.6%, 49.8%, 55.5%, 39.9%, 
2020, Mar, 37.7%, 29.2%, 29.1%, 34.2%, 25.5%, 
2020, Apr, 11.6%, 3.2%, 9.5%, 15%, 6.3%, 
2020, May, 20.6%, 5.9%, 18.3%, 17.4%, 8.8%, 
2020, Jun, 24.4%, 13.1%, 20.8%, 17.5%, 14.4%, 
2020, Jul, 25.5%, 31.6%, 28.1%, 25.1%, 23.2%, 
2020, Aug, 28.5%, 48.5%, 43.1%, 32.6%, 31.9%, 
2020, Sep, 30.7%, 31.9%, 32.9%, 30.3%, 27.3%, 
2020, Oct, 25.3%, 12.9%, 18.8%, 28.4%, 24.8%, 
2020, Nov, 24.1%, 16.4%, 18.9%, 27.4%, 28.2%, 
2020, Dec, 22.6%, 14.7%, 12.8%, 15.3%, 18.9%, 
2021, Jan, 21.3%, 9.8%, 11.8%, 19.8%, 18.4%, 
2021, Feb, 23.7%, 16.1%, 14.2%, 26%, 13.3%, 
2021, Mar, 36.3%, 19.7%, 26.5%, 26.9%, 14%, 
2021, Apr, 37.9%, 11.8%, 29.1%, 26.9%, 28.8%, 
2021, May, 39.2%, 16.8%, 23.2%, 17%, 29.9%, 
2021, Jun, 47.4%, 28.5%, 23.3%, 21.7%, 28.7%, 
2021, Jul, 54.3%, 56.1%, 53.7%, 47.1%, 47.4%, 
2021, Aug, 55.4%, 64.5%, 70.8%, 76.9%, 61.1%, 
2021, Sep, 48.8%, 46.3%, 51.6%, 73.5%, 59.2%, 
2021, Oct, 48.6%, 45.2%, 29.1%, 59.1%, 45.3%, 
2021, Nov, 49.9%, 42%, 35.6%, 51.2%, 43.3%, 
2021, Dec, 55.7%, 37.9%, 28.6%, 38%, 33.9%, 
2022, Jan, 43.5%, 13.3%, 15.5%, 26.3%, 22.9%, 
2022, Feb, 48.7%, 33.4%, 28.9%, 38.4%, 29%, 
2022, Mar, 66%, 42.3%, 44.1%, 57.1%, 36.1%, 
2022, Apr, 67.6%, 46.1%, 52.7%, 60.5%, 47.3%, 
2022, May, 75.6%, 57.5%, 52.9%, 70.7%, 58.6%, 
2022, Jun, 87.6%, 68.1%, 60.5%, 83.3%, 82.2%, 
2022, Jul, 85.1%, 80.6%, 81.3%, 87.3%, 85.2%, 
2022, Aug, 84.1%, 83.4%, 81.6%, 91%, 86.5%, 
