Year, Month, Greater Toronto Area, Downtown Toronto, Toronto Airport, GTA West, GTA East/North, London, Windsor, Niagara Falls, Other Niagara Region, Other Southern Ontario, 
2010, Jul, 71.9%, 82.2%, 62.8%, 65.9%, 68.5%, 58.2%, 44.4%, 85.7%, 58.3%, 62%, 
2010, Aug, 74%, 83.4%, 67.4%, 65.4%, 72.2%, 53%, 49.2%, 86.2%, 62.3%, 61.3%, 
2010, Sep, 75.2%, 84.7%, 71%, 67.5%, 69.8%, 63.4%, 45.2%, 74%, 54%, 59.7%, 
2010, Oct, 71.2%, 80.8%, 68.2%, 61.7%, 66.4%, 62%, 47.6%, 59.6%, 48.1%, 52%, 
2010, Nov, 68.2%, 77.9%, 63.9%, 60.6%, 62.2%, 56.7%, 45.9%, 39.8%, 39.9%, 47.7%, 
2010, Dec, 50.1%, 53.1%, 53.3%, 47.5%, 45%, 40.2%, 35.6%, 34.3%, 36.5%, 35.9%, 
2011, Jan, 54.6%, 54.8%, 67.9%, 51.2%, 46.1%, 48%, 33.3%, 30.2%, 32%, 38%, 
2011, Feb, 61.8%, 65.8%, 70%, 56.7%, 53.3%, 58.5%, 38.3%, 34.9%, 37.1%, 42.4%, 
2011, Mar, 64.3%, 70.2%, 68.3%, 58.5%, 56%, 59.6%, 43.8%, 34.7%, 36.3%, 41.9%, 
2011, Apr, 63.2%, 66.9%, 66.1%, 60.8%, 56.8%, 56.1%, 46.8%, 47.5%, 46.4%, 49.4%, 
2011, May, 67.6%, 76.6%, 70.8%, 62.7%, 56.3%, 53.8%, 45.8%, 56.5%, 42.2%, 50.4%, 
2011, Jun, 71.5%, 83.7%, 70.3%, 65.3%, 59.6%, 60.1%, 51.6%, 71.1%, 47.9%, 53.5%, 
2011, Jul, 70.5%, 79.7%, 67.4%, 66.3%, 62.7%, 57.6%, 48%, 81.9%, 62.3%, 54.6%, 
2011, Aug, 70.8%, 79.5%, 69.9%, 65.5%, 63.3%, 55.8%, 48.2%, 82.2%, 61.6%, 52.3%, 
2011, Sep, 78.5%, 86.5%, 76.4%, 72.4%, 71.6%, 65%, 52.8%, 74.8%, 60.8%, 52.9%, 
2011, Oct, 72.6%, 81%, 70.3%, 65.5%, 66.5%, 65.8%, 49.8%, 60.1%, 50.4%, 48.8%, 
2011, Nov, 67.4%, 76.9%, 65.3%, 61.3%, 58.7%, 59.3%, 46.4%, 44.7%, 39.5%, 46.5%, 
2011, Dec, 49%, 53.4%, 48.6%, 47.8%, 43.5%, 41.1%, 39.8%, 40.8%, 35.5%, 35.4%, 
2012, Jan, 54.1%, 54%, 68.2%, 51.5%, 45.3%, 47.4%, 37.7%, 33.2%, 31%, 32.8%, 
2012, Feb, 60.2%, 63%, 71%, 56.4%, 50.8%, 53.4%, 43.4%, 39.4%, 35.3%, 34.8%, 
2012, Mar, 63.8%, 71.3%, 67.9%, 58.9%, 53.3%, 48.7%, 44%, 44.7%, 40.3%, 36.3%, 
2012, Apr, 62.1%, 67.2%, 65.6%, 59.5%, 53.5%, 49.7%, 44.2%, 51%, 39.3%, 39.9%, 
2012, May, 70.2%, 79.7%, 70.5%, 64.8%, 60%, 53.2%, 50.5%, 60.7%, 47.2%, 48.6%, 
2012, Jun, 73.5%, 86.3%, 70.5%, 68%, 62.3%, 59.3%, 52.1%, 78%, 51.8%, 49.6%, 
2012, Jul, 73%, 83.7%, 69.2%, 65%, 66.3%, 55.2%, 48.2%, 85%, 56%, 50.3%, 
2012, Aug, 75.9%, 82.9%, 72.7%, 68.3%, 74.2%, 56.8%, 52%, 90%, 66.7%, 53.2%, 
2012, Sep, 76.4%, 86.9%, 73.8%, 68.5%, 69%, 65.3%, 49.8%, 77.9%, 56.2%, 52.3%, 
2012, Oct, 70.4%, 78.8%, 68.7%, 63.4%, 64.8%, 61%, 53.8%, 61.8%, 50.8%, 50.6%, 
2012, Nov, 69.1%, 80.6%, 67.2%, 59.4%, 61.6%, 60%, 45%, 44.4%, 36%, 43.6%, 
2012, Dec, 50.6%, 55.3%, 53.3%, 48.3%, 43.3%, 42.1%, 36.6%, 40.4%, 29.5%, 33.2%, 
2013, Jan, 56.5%, 57.9%, 70.3%, 53.5%, 46.8%, 49.3%, 36.1%, 32.3%, 29.4%, 37.1%, 
2013, Feb, 62.6%, 66.5%, 75.7%, 57.9%, 51.3%, 56.8%, 38.8%, 37.6%, 33.8%, 37.9%, 
2013, Mar, 61.7%, 66.9%, 68.5%, 58.5%, 51.9%, 57%, 44%, 45%, 41%, 39.7%, 
2013, Apr, 66%, 73.8%, 68.6%, 60.4%, 57%, 51.4%, 51.4%, 46.5%, 44.1%, 47.1%, 
2013, May, 69.7%, 81.38%, 73.85%, 62.58%, 56.64%, 50.6%, 52.11%, 63.36%, 47.34%, 49.62%, 
2013, Jun, 73.6%, 82.6%, 70.8%, 67.3%, 67.3%, 58.3%, 53.5%, 78.8%, 55%, 53.5%, 
2013, Jul, 71.9%, 78.2%, 70%, 69.3%, 66.5%, 55.1%, 45.3%, 85.4%, 58.2%, 52.6%, 
2013, Aug, 77.3%, 83.3%, 76.5%, 73.2%, 72.9%, 56.4%, 51.2%, 91.8%, 65.3%, 62.5%, 
2013, Sep, 75.4%, 82.4%, 76.7%, 69.8%, 68.4%, 64.5%, 47.5%, 78.3%, 54.3%, 60.4%, 
2013, Oct, 72.1%, 78.7%, 73.5%, 66.6%, 65.7%, 60.8%, 54.5%, 63.3%, 48%, 55.4%, 
2013, Nov, 69.2%, 78%, 69.9%, 60.7%, 62.6%, 62.3%, 50.4%, 43.6%, 43.1%, 47%, 
2013, Dec, 57.1%, 60.8%, 59.4%, 53.3%, 53.4%, 41.2%, 40.3%, 38.6%, 34.2%, 35.7%, 
2014, Jan, 58.7%, 56.8%, 77.5%, 56.9%, 50.9%, 52.9%, 41.1%, 32.5%, 31.1%, 40.4%, 
2014, Feb, 63.1%, 65%, 75.1%, 58.6%, 56%, 63.2%, 46%, 38.7%, 36.6%, 39.1%, 
2014, Mar, 66.1%, 71%, 70.2%, 62.2%, 58.4%, 55.1%, 52.1%, 45.3%, 37.6%, 38.6%, 
2014, Apr, 68.9%, 71.1%, 71.6%, 68.6%, 63.8%, 56.9%, 55.9%, 54.4%, 44.4%, 43.4%, 
2014, May, 73.5%, 80.3%, 76.4%, 69.1%, 64.9%, 61.7%, 58.6%, 68.2%, 52.3%, 50.1%, 
2014, Jun, 76.9%, 84.6%, 75.6%, 73.8%, 68.8%, 56.9%, 52%, 81.1%, 51.4%, 54.1%, 
2014, Jul, 74.4%, 80.9%, 70.4%, 72%, 69.1%, 57.1%, 51.9%, 87.1%, 58.3%, 58.5%, 
2014, Aug, 83%, 87.8%, 80.3%, 80.8%, 79.2%, 64.5%, 66.7%, 93.1%, 72.1%, 62.5%, 
2014, Sep, 80.1%, 87.5%, 77.8%, 75%, 73.8%, 62.9%, 56.1%, 79%, 53.2%, 63.4%, 
2014, Oct, 75.1%, 80%, 73.6%, 70.1%, 72.2%, 60.5%, 55.9%, 68.6%, 49%, 54.9%, 
2014, Nov, 69.2%, 74.5%, 69.6%, 64.4%, 64.4%, 59.2%, 52.4%, 44.5%, 42.5%, 49.1%, 
2014, Dec, 54%, 54.6%, 57.1%, 53.1%, 51.6%, 41.4%, 47%, 41.3%, 34.1%, 32.8%, 
2015, Jan, 56.5%, 54.1%, 72.5%, 55.7%, 51.8%, 51.7%, 44.9%, 35.5%, 30.2%, 38.3%, 
2015, Feb, 63.3%, 62.9%, 77.6%, 59.6%, 58.4%, 57.8%, 56.6%, 40.7%, 32.3%, 39.6%, 
2015, Mar, 65.4%, 67.2%, 73.6%, 63.6%, 59%, 51.9%, 64.2%, 46.9%, 41.2%, 36.9%, 
2015, Apr, 68.3%, 68.6%, 75.2%, 69%, 62.8%, 55.7%, 63.4%, 53.4%, 43.1%, 39.9%, 
2015, May, 72.9%, 79.7%, 72.3%, 69.8%, 65.7%, 58%, 61.5%, 71%, 49.2%, 49.3%, 
2015, Jun, 79.1%, 85.5%, 80.8%, 74.8%, 72.4%, 61.4%, 63.6%, 83.5%, 59.1%, 55.5%, 
2015, Jul, 75.7%, 76.7%, 77.8%, 76.5%, 72.6%, 61.7%, 61.8%, 91.2%, 68.6%, 58.7%, 
2015, Aug, 82.1%, 84.2%, 82.8%, 80.1%, 80.2%, 59.3%, 60.5%, 93.2%, 78.3%, 59.6%, 
2015, Sep, 83.3%, 86.3%, 85%, 80.5%, 79.7%, 67.1%, 59.8%, 86.4%, 65.6%, 61.3%, 
2015, Oct, 76.8%, 78.9%, 77.4%, 73.3%, 76%, 60.5%, 55.8%, 71.3%, 58.5%, 51.7%, 
2015, Nov, 69.8%, 72.7%, 72.1%, 65.8%, 67.1%, 61.1%, 55.5%, 49.8%, 45.4%, 45.3%, 
2015, Dec, 55.4%, 54.9%, 58.9%, 55.2%, 54.2%, 44.9%, 46%, 47.3%, 36.5%, 35.4%, 
2016, Jan, 59.3%, 58.7%, 71.5%, 56%, 55.3%, 54.2%, 45.7%, 38.5%, 41.9%, 37.7%, 
2016, Feb, 68.3%, 69.5%, 80%, 64%, 62.6%, 60.2%, 52.4%, 40.6%, 39.5%, 35.8%, 
2016, Mar, 66.3%, 66.9%, 73.4%, 65.3%, 61.6%, 55.4%, 59.5%, 49.9%, 42.9%, 38.2%, 
2016, Apr, 72.5%, 72.1%, 79.2%, 72.7%, 68.8%, 70.1%, 69.3%, 57.6%, 49.7%, 52.6%, 
2016, May, 77.1%, 83.7%, 76.7%, 73.8%, 70.5%, 60.6%, 59.1%, 69.2%, 51.2%, 60.9%, 
2016, Jun, 78.6%, 84.5%, 76.6%, 76.8%, 72.6%, 60.3%, 62.7%, 85.7%, 67.3%, 53.2%, 
2016, Jul, 87.7%, 91%, 88%, 87.6%, 83.1%, 61.7%, 60.9%, 94.7%, 80.7%, 58.9%, 
2016, Aug, 84.3%, 86.8%, 82.5%, 85.2%, 81%, 61.1%, 69.3%, 94%, 77.4%, 60.7%, 
2016, Sep, 86.6%, 88.2%, 85.4%, 86.1%, 85.1%, 75.6%, 62.1%, 88.8%, 71.5%, 60.3%, 
2016, Oct, 78.3%, 79.5%, 76.4%, 78.4%, 77.5%, 66.2%, 72.7%, 78%, 56.9%, 52.3%, 
2016, Nov, 74.6%, 79.2%, 71.3%, 71.2%, 72.2%, 65%, 64.5%, 53%, 46.9%, 46.9%, 
2016, Dec, 57.9%, 58.1%, 61%, 57.9%, 55.4%, 47.6%, 60.3%, 47.5%, 36.6%, 39%, 
2017, Jan, 60.1%, 57.4%, 72.3%, 60.3%, 56.7%, 57.1%, 47.8%, 41.2%, 34.6%, 37.6%, 
2017, Feb, 67.4%, 66.9%, 78.1%, 64.4%, 64.1%, 57.5%, 50.8%, 45.1%, 42.5%, 37%, 
2017, Mar, 70.3%, 70.7%, 75.4%, 69.5%, 67%, 62.8%, 59.3%, 49.2%, 45.1%, 42.2%, 
2017, Apr, 75%, 74.6%, 81.3%, 75.2%, 71.4%, 62.6%, 61.9%, 66.1%, 51.4%, 47%, 
2017, May, 78.2%, 79.2%, 82%, 78%, 74.6%, 66.6%, 67.4%, 71.1%, 52.1%, 58%, 
2017, Jun, 81.1%, 85%, 75.7%, 81.2%, 78.5%, 69.9%, 63.7%, 87.4%, 72.3%, 60.7%, 
2017, Jul, 83.7%, 84.7%, 80.1%, 85.3%, 83.1%, 67.4%, 66.3%, 91.8%, 78.1%, 66.4%, 
2017, Aug, 84.7%, 86.8%, 82.9%, 84.6%, 83.1%, 66.7%, 68%, 92.7%, 79.8%, 70.5%, 
2017, Sep, 85%, 87%, 82.1%, 84.4%, 84.3%, 76.2%, 78.4%, 87.1%, 74.8%, 71.6%, 
2017, Oct, 81.9%, 86.2%, 78.8%, 78.8%, 79.8%, 69.9%, 63.6%, 76.7%, 58.4%, 61.1%, 
2017, Nov, 77.8%, 81.8%, 77.5%, 74.4%, 74.6%, 64.4%, 64.6%, 55.3%, 49.9%, 55.1%, 
2017, Dec, 59.2%, 60.6%, 63.4%, 57%, 56.3%, 48.5%, 49.8%, 49.5%, 41.6%, 41.5%, 
2018, Jan, 64.1%, 62%, 79.4%, 63.5%, 58.5%, 61.2%, 50%, 38.9%, 35.3%, 47.2%, 
2018, Feb, 68.4%, 69.2%, 76.5%, 65.6%, 64.5%, 60.8%, 55.1%, 43.5%, 38%, 47.3%, 
2018, Mar, 72.1%, 76.3%, 75.1%, 68.6%, 66.9%, 63.1%, 62.4%, 52.6%, 44.8%, 50.2%, 
