"Year","Month","GEO","Value","Type"
2001," Jun","Canada"," 71.9%","Hotel Occupancy Rate"
2001," Jun","British Columbia"," 67.9%","Hotel Occupancy Rate"
2001," Jun","Manitoba"," 68.2%","Hotel Occupancy Rate"
2001," Jun","New Brunswick"," 63.7%","Hotel Occupancy Rate"
2001," Jun","Nova Scotia"," 81.2%","Hotel Occupancy Rate"
2001," Jun","Ontario"," 73.6%","Hotel Occupancy Rate"
2001," Jun","Quebec"," 76.3%","Hotel Occupancy Rate"
2001," Jun","Saskatchewan"," 63.1%","Hotel Occupancy Rate"
2001," Jun","Newfoundland"," 81.9%","Hotel Occupancy Rate"
2001," Jul","Canada"," 74%","Hotel Occupancy Rate"
2001," Jul","British Columbia"," 74.9%","Hotel Occupancy Rate"
2001," Jul","Manitoba"," 64%","Hotel Occupancy Rate"
2001," Jul","New Brunswick"," 76.8%","Hotel Occupancy Rate"
2001," Jul","Nova Scotia"," 85.6%","Hotel Occupancy Rate"
2001," Jul","Ontario"," 72%","Hotel Occupancy Rate"
2001," Jul","Quebec"," 76.5%","Hotel Occupancy Rate"
2001," Jul","Saskatchewan"," 59.2%","Hotel Occupancy Rate"
2001," Jul","Newfoundland"," 76.7%","Hotel Occupancy Rate"
2001," Aug","Canada"," 78.6%","Hotel Occupancy Rate"
2001," Aug","British Columbia"," 79.5%","Hotel Occupancy Rate"
2001," Aug","Manitoba"," 61.6%","Hotel Occupancy Rate"
2001," Aug","New Brunswick"," 77.6%","Hotel Occupancy Rate"
2001," Aug","Nova Scotia"," 90.2%","Hotel Occupancy Rate"
2001," Aug","Ontario"," 77.3%","Hotel Occupancy Rate"
2001," Aug","Quebec"," 83.4%","Hotel Occupancy Rate"
2001," Aug","Saskatchewan"," 67.2%","Hotel Occupancy Rate"
2001," Aug","Newfoundland"," 77.5%","Hotel Occupancy Rate"
2001," Sep","Canada"," 66.7%","Hotel Occupancy Rate"
2001," Sep","British Columbia"," 64.1%","Hotel Occupancy Rate"
2001," Sep","Manitoba"," 60.2%","Hotel Occupancy Rate"
2001," Sep","New Brunswick"," 70.3%","Hotel Occupancy Rate"
2001," Sep","Nova Scotia"," 82.6%","Hotel Occupancy Rate"
2001," Sep","Ontario"," 66.8%","Hotel Occupancy Rate"
2001," Sep","Quebec"," 70.3%","Hotel Occupancy Rate"
2001," Sep","Saskatchewan"," 56%","Hotel Occupancy Rate"
2001," Sep","Newfoundland"," 73.7%","Hotel Occupancy Rate"
2001," Oct","Canada"," 61.4%","Hotel Occupancy Rate"
2001," Oct","British Columbia"," 51.2%","Hotel Occupancy Rate"
2001," Oct","Manitoba"," 63.5%","Hotel Occupancy Rate"
2001," Oct","New Brunswick"," 59%","Hotel Occupancy Rate"
2001," Oct","Nova Scotia"," 74.6%","Hotel Occupancy Rate"
2001," Oct","Ontario"," 64.8%","Hotel Occupancy Rate"
2001," Oct","Quebec"," 66.2%","Hotel Occupancy Rate"
2001," Oct","Saskatchewan"," 62%","Hotel Occupancy Rate"
2001," Oct","Newfoundland"," 65%","Hotel Occupancy Rate"
2001," Nov","Canada"," 55.2%","Hotel Occupancy Rate"
2001," Nov","British Columbia"," 45%","Hotel Occupancy Rate"
2001," Nov","Manitoba"," 63.1%","Hotel Occupancy Rate"
2001," Nov","New Brunswick"," 53.3%","Hotel Occupancy Rate"
2001," Nov","Nova Scotia"," 61.5%","Hotel Occupancy Rate"
2001," Nov","Ontario"," 57.4%","Hotel Occupancy Rate"
2001," Nov","Quebec"," 56.3%","Hotel Occupancy Rate"
2001," Nov","Saskatchewan"," 66.5%","Hotel Occupancy Rate"
2001," Nov","Newfoundland"," 60.4%","Hotel Occupancy Rate"
2001," Dec","Canada"," 42.7%","Hotel Occupancy Rate"
2001," Dec","British Columbia"," 41.6%","Hotel Occupancy Rate"
2001," Dec","Manitoba"," 44.8%","Hotel Occupancy Rate"
2001," Dec","New Brunswick"," 35.3%","Hotel Occupancy Rate"
2001," Dec","Nova Scotia"," 39.4%","Hotel Occupancy Rate"
2001," Dec","Ontario"," 41.8%","Hotel Occupancy Rate"
2001," Dec","Quebec"," 44.9%","Hotel Occupancy Rate"
2001," Dec","Saskatchewan"," 45.5%","Hotel Occupancy Rate"
2001," Dec","Newfoundland"," 39.8%","Hotel Occupancy Rate"
2002," Jan","Canada"," 46.2%","Hotel Occupancy Rate"
2002," Jan","British Columbia"," 43.5%","Hotel Occupancy Rate"
2002," Jan","Manitoba"," 45.2%","Hotel Occupancy Rate"
2002," Jan","New Brunswick"," 39.4%","Hotel Occupancy Rate"
2002," Jan","Nova Scotia"," 43%","Hotel Occupancy Rate"
2002," Jan","Ontario"," 47.3%","Hotel Occupancy Rate"
2002," Jan","Quebec"," 45.4%","Hotel Occupancy Rate"
2002," Jan","Saskatchewan"," 48.2%","Hotel Occupancy Rate"
2002," Jan","Newfoundland"," 45%","Hotel Occupancy Rate"
2002," Feb","Canada"," 56.7%","Hotel Occupancy Rate"
2002," Feb","British Columbia"," 54.7%","Hotel Occupancy Rate"
2002," Feb","Manitoba"," 60.4%","Hotel Occupancy Rate"
2002," Feb","New Brunswick"," 52.4%","Hotel Occupancy Rate"
2002," Feb","Nova Scotia"," 54.9%","Hotel Occupancy Rate"
2002," Feb","Ontario"," 56.4%","Hotel Occupancy Rate"
2002," Feb","Quebec"," 57.3%","Hotel Occupancy Rate"
2002," Feb","Saskatchewan"," 56.3%","Hotel Occupancy Rate"
2002," Feb","Newfoundland"," 53.1%","Hotel Occupancy Rate"
2002," Mar","Canada"," 57.9%","Hotel Occupancy Rate"
2002," Mar","British Columbia"," 58.9%","Hotel Occupancy Rate"
2002," Mar","Manitoba"," 59.7%","Hotel Occupancy Rate"
2002," Mar","New Brunswick"," 52.3%","Hotel Occupancy Rate"
2002," Mar","Nova Scotia"," 61.5%","Hotel Occupancy Rate"
2002," Mar","Ontario"," 61.4%","Hotel Occupancy Rate"
2002," Mar","Quebec"," 58%","Hotel Occupancy Rate"
2002," Mar","Saskatchewan"," 59.3%","Hotel Occupancy Rate"
2002," Mar","Newfoundland"," 55.6%","Hotel Occupancy Rate"
2002," Apr","Canada"," 60.8%","Hotel Occupancy Rate"
2002," Apr","British Columbia"," 58.8%","Hotel Occupancy Rate"
2002," Apr","Manitoba"," 60.3%","Hotel Occupancy Rate"
2002," Apr","New Brunswick"," 55.4%","Hotel Occupancy Rate"
2002," Apr","Nova Scotia"," 62.1%","Hotel Occupancy Rate"
2002," Apr","Ontario"," 61.2%","Hotel Occupancy Rate"
2002," Apr","Quebec"," 59.4%","Hotel Occupancy Rate"
2002," Apr","Saskatchewan"," 59.6%","Hotel Occupancy Rate"
2002," Apr","Newfoundland"," 61.4%","Hotel Occupancy Rate"
2002," May","Canada"," 64.1%","Hotel Occupancy Rate"
2002," May","British Columbia"," 61.8%","Hotel Occupancy Rate"
2002," May","Manitoba"," 64.9%","Hotel Occupancy Rate"
2002," May","New Brunswick"," 60.6%","Hotel Occupancy Rate"
2002," May","Nova Scotia"," 72.9%","Hotel Occupancy Rate"
2002," May","Ontario"," 62.7%","Hotel Occupancy Rate"
2002," May","Quebec"," 69%","Hotel Occupancy Rate"
2002," May","Saskatchewan"," 59.7%","Hotel Occupancy Rate"
2002," May","Newfoundland"," 65.5%","Hotel Occupancy Rate"
2002," Jun","Canada"," 71.3%","Hotel Occupancy Rate"
2002," Jun","British Columbia"," 67.7%","Hotel Occupancy Rate"
2002," Jun","Manitoba"," 69.1%","Hotel Occupancy Rate"
2002," Jun","New Brunswick"," 66%","Hotel Occupancy Rate"
2002," Jun","Nova Scotia"," 80.7%","Hotel Occupancy Rate"
2002," Jun","Ontario"," 70.4%","Hotel Occupancy Rate"
2002," Jun","Quebec"," 77%","Hotel Occupancy Rate"
2002," Jun","Saskatchewan"," 64%","Hotel Occupancy Rate"
2002," Jun","Newfoundland"," 73.5%","Hotel Occupancy Rate"
2002," Jul","Canada"," 73.6%","Hotel Occupancy Rate"
2002," Jul","British Columbia"," 74.2%","Hotel Occupancy Rate"
2002," Jul","Manitoba"," 62.1%","Hotel Occupancy Rate"
2002," Jul","New Brunswick"," 82.9%","Hotel Occupancy Rate"
2002," Jul","Nova Scotia"," 87.1%","Hotel Occupancy Rate"
2002," Jul","Ontario"," 71.2%","Hotel Occupancy Rate"
2002," Jul","Quebec"," 76.6%","Hotel Occupancy Rate"
2002," Jul","Saskatchewan"," 60.2%","Hotel Occupancy Rate"
2002," Jul","Newfoundland"," 79%","Hotel Occupancy Rate"
2002," Aug","Canada"," 78.1%","Hotel Occupancy Rate"
2002," Aug","British Columbia"," 79.9%","Hotel Occupancy Rate"
2002," Aug","Manitoba"," 64.9%","Hotel Occupancy Rate"
2002," Aug","New Brunswick"," 85%","Hotel Occupancy Rate"
2002," Aug","Nova Scotia"," 92.5%","Hotel Occupancy Rate"
2002," Aug","Ontario"," 74.9%","Hotel Occupancy Rate"
2002," Aug","Quebec"," 84.5%","Hotel Occupancy Rate"
2002," Aug","Saskatchewan"," 67.5%","Hotel Occupancy Rate"
2002," Aug","Newfoundland"," 81.3%","Hotel Occupancy Rate"
2002," Sep","Canada"," 70.8%","Hotel Occupancy Rate"
2002," Sep","British Columbia"," 67.2%","Hotel Occupancy Rate"
2002," Sep","Manitoba"," 63.3%","Hotel Occupancy Rate"
2002," Sep","New Brunswick"," 69.8%","Hotel Occupancy Rate"
2002," Sep","Nova Scotia"," 87.2%","Hotel Occupancy Rate"
2002," Sep","Ontario"," 71.5%","Hotel Occupancy Rate"
2002," Sep","Quebec"," 74.4%","Hotel Occupancy Rate"
2002," Sep","Saskatchewan"," 61.8%","Hotel Occupancy Rate"
2002," Sep","Newfoundland"," 75%","Hotel Occupancy Rate"
2002," Oct","Canada"," 64.6%","Hotel Occupancy Rate"
2002," Oct","British Columbia"," 56.4%","Hotel Occupancy Rate"
2002," Oct","Manitoba"," 61%","Hotel Occupancy Rate"
2002," Oct","New Brunswick"," 61.3%","Hotel Occupancy Rate"
2002," Oct","Nova Scotia"," 73.8%","Hotel Occupancy Rate"
2002," Oct","Ontario"," 66.8%","Hotel Occupancy Rate"
2002," Oct","Quebec"," 73.2%","Hotel Occupancy Rate"
2002," Oct","Saskatchewan"," 64%","Hotel Occupancy Rate"
2002," Oct","Newfoundland"," 68.7%","Hotel Occupancy Rate"
2002," Nov","Canada"," 56.5%","Hotel Occupancy Rate"
2002," Nov","British Columbia"," 45.9%","Hotel Occupancy Rate"
2002," Nov","Manitoba"," 59.8%","Hotel Occupancy Rate"
2002," Nov","New Brunswick"," 53.9%","Hotel Occupancy Rate"
2002," Nov","Nova Scotia"," 61.4%","Hotel Occupancy Rate"
2002," Nov","Ontario"," 60.2%","Hotel Occupancy Rate"
2002," Nov","Quebec"," 56.6%","Hotel Occupancy Rate"
2002," Nov","Saskatchewan"," 62%","Hotel Occupancy Rate"
2002," Nov","Newfoundland"," 59.9%","Hotel Occupancy Rate"
2002," Dec","Canada"," 42.8%","Hotel Occupancy Rate"
2002," Dec","British Columbia"," 42.5%","Hotel Occupancy Rate"
2002," Dec","Manitoba"," 43.4%","Hotel Occupancy Rate"
2002," Dec","New Brunswick"," 35.5%","Hotel Occupancy Rate"
2002," Dec","Nova Scotia"," 39.9%","Hotel Occupancy Rate"
2002," Dec","Ontario"," 42.5%","Hotel Occupancy Rate"
2002," Dec","Quebec"," 45.2%","Hotel Occupancy Rate"
2002," Dec","Saskatchewan"," 41.6%","Hotel Occupancy Rate"
2002," Dec","Newfoundland"," 38.1%","Hotel Occupancy Rate"
2003," Jan","Canada"," 46.8%","Hotel Occupancy Rate"
2003," Jan","British Columbia"," 44.1%","Hotel Occupancy Rate"
2003," Jan","Manitoba"," 45.2%","Hotel Occupancy Rate"
2003," Jan","New Brunswick"," 39.3%","Hotel Occupancy Rate"
2003," Jan","Nova Scotia"," 43.7%","Hotel Occupancy Rate"
2003," Jan","Ontario"," 49%","Hotel Occupancy Rate"
2003," Jan","Quebec"," 47.2%","Hotel Occupancy Rate"
2003," Jan","Saskatchewan"," 50.5%","Hotel Occupancy Rate"
2003," Jan","Newfoundland"," 40.2%","Hotel Occupancy Rate"
2003," Feb","Canada"," 56.6%","Hotel Occupancy Rate"
2003," Feb","British Columbia"," 54.3%","Hotel Occupancy Rate"
2003," Feb","Manitoba"," 55.4%","Hotel Occupancy Rate"
2003," Feb","New Brunswick"," 52.2%","Hotel Occupancy Rate"
2003," Feb","Nova Scotia"," 53.7%","Hotel Occupancy Rate"
2003," Feb","Ontario"," 57.1%","Hotel Occupancy Rate"
2003," Feb","Quebec"," 58.4%","Hotel Occupancy Rate"
2003," Feb","Saskatchewan"," 57.4%","Hotel Occupancy Rate"
2003," Feb","Newfoundland"," 56.7%","Hotel Occupancy Rate"
2003," Mar","Canada"," 56.6%","Hotel Occupancy Rate"
2003," Mar","British Columbia"," 56.8%","Hotel Occupancy Rate"
2003," Mar","Manitoba"," 56.5%","Hotel Occupancy Rate"
2003," Mar","New Brunswick"," 56.5%","Hotel Occupancy Rate"
2003," Mar","Nova Scotia"," 63.6%","Hotel Occupancy Rate"
2003," Mar","Ontario"," 54.9%","Hotel Occupancy Rate"
2003," Mar","Quebec"," 55.4%","Hotel Occupancy Rate"
2003," Mar","Saskatchewan"," 59.1%","Hotel Occupancy Rate"
2003," Mar","Newfoundland"," 53.7%","Hotel Occupancy Rate"
2003," Apr","Canada"," 53.4%","Hotel Occupancy Rate"
2003," Apr","British Columbia"," 55.7%","Hotel Occupancy Rate"
2003," Apr","Manitoba"," 61.6%","Hotel Occupancy Rate"
2003," Apr","New Brunswick"," 53%","Hotel Occupancy Rate"
2003," Apr","Nova Scotia"," 58.9%","Hotel Occupancy Rate"
2003," Apr","Ontario"," 49.1%","Hotel Occupancy Rate"
2003," Apr","Quebec"," 54.4%","Hotel Occupancy Rate"
2003," Apr","Saskatchewan"," 54.8%","Hotel Occupancy Rate"
2003," Apr","Newfoundland"," 55.5%","Hotel Occupancy Rate"
2003," May","Canada"," 57.4%","Hotel Occupancy Rate"
2003," May","British Columbia"," 60.2%","Hotel Occupancy Rate"
2003," May","Manitoba"," 60.9%","Hotel Occupancy Rate"
2003," May","New Brunswick"," 52.7%","Hotel Occupancy Rate"
2003," May","Nova Scotia"," 69.1%","Hotel Occupancy Rate"
2003," May","Ontario"," 52.4%","Hotel Occupancy Rate"
2003," May","Quebec"," 63.3%","Hotel Occupancy Rate"
2003," May","Saskatchewan"," 59.7%","Hotel Occupancy Rate"
2003," May","Newfoundland"," 64.3%","Hotel Occupancy Rate"
2003," Jun","Canada"," 63%","Hotel Occupancy Rate"
2003," Jun","British Columbia"," 62.6%","Hotel Occupancy Rate"
2003," Jun","Manitoba"," 67.7%","Hotel Occupancy Rate"
2003," Jun","New Brunswick"," 62.6%","Hotel Occupancy Rate"
2003," Jun","Nova Scotia"," 77.3%","Hotel Occupancy Rate"
2003," Jun","Ontario"," 57.7%","Hotel Occupancy Rate"
2003," Jun","Quebec"," 71.9%","Hotel Occupancy Rate"
2003," Jun","Saskatchewan"," 63%","Hotel Occupancy Rate"
2003," Jun","Newfoundland"," 74.9%","Hotel Occupancy Rate"
2003," Jul","Canada"," 66.3%","Hotel Occupancy Rate"
2003," Jul","British Columbia"," 71.2%","Hotel Occupancy Rate"
2003," Jul","Manitoba"," 66.4%","Hotel Occupancy Rate"
2003," Jul","New Brunswick"," 75.9%","Hotel Occupancy Rate"
2003," Jul","Nova Scotia"," 82.7%","Hotel Occupancy Rate"
2003," Jul","Ontario"," 60.1%","Hotel Occupancy Rate"
2003," Jul","Quebec"," 67.4%","Hotel Occupancy Rate"
2003," Jul","Saskatchewan"," 56.1%","Hotel Occupancy Rate"
2003," Jul","Newfoundland"," 80%","Hotel Occupancy Rate"
2003," Aug","Canada"," 72.4%","Hotel Occupancy Rate"
2003," Aug","British Columbia"," 79.2%","Hotel Occupancy Rate"
2003," Aug","Manitoba"," 65%","Hotel Occupancy Rate"
2003," Aug","New Brunswick"," 80.5%","Hotel Occupancy Rate"
2003," Aug","Nova Scotia"," 88.9%","Hotel Occupancy Rate"
2003," Aug","Ontario"," 67.1%","Hotel Occupancy Rate"
2003," Aug","Quebec"," 76.1%","Hotel Occupancy Rate"
2003," Aug","Saskatchewan"," 64.3%","Hotel Occupancy Rate"
2003," Aug","Newfoundland"," 81.2%","Hotel Occupancy Rate"
2003," Sep","Canada"," 67.2%","Hotel Occupancy Rate"
2003," Sep","British Columbia"," 66.8%","Hotel Occupancy Rate"
2003," Sep","Manitoba"," 58.8%","Hotel Occupancy Rate"
2003," Sep","New Brunswick"," 68.6%","Hotel Occupancy Rate"
2003," Sep","Nova Scotia"," 82.9%","Hotel Occupancy Rate"
2003," Sep","Ontario"," 67%","Hotel Occupancy Rate"
2003," Sep","Quebec"," 69.3%","Hotel Occupancy Rate"
2003," Sep","Saskatchewan"," 60.4%","Hotel Occupancy Rate"
2003," Sep","Newfoundland"," 78%","Hotel Occupancy Rate"
2003," Oct","Canada"," 63.8%","Hotel Occupancy Rate"
2003," Oct","British Columbia"," 56.7%","Hotel Occupancy Rate"
2003," Oct","Manitoba"," 61.3%","Hotel Occupancy Rate"
2003," Oct","New Brunswick"," 59.9%","Hotel Occupancy Rate"
2003," Oct","Nova Scotia"," 77.3%","Hotel Occupancy Rate"
2003," Oct","Ontario"," 66.4%","Hotel Occupancy Rate"
2003," Oct","Quebec"," 69.6%","Hotel Occupancy Rate"
2003," Oct","Saskatchewan"," 61.8%","Hotel Occupancy Rate"
2003," Oct","Newfoundland"," 73.5%","Hotel Occupancy Rate"
2003," Nov","Canada"," 56.2%","Hotel Occupancy Rate"
2003," Nov","British Columbia"," 48.1%","Hotel Occupancy Rate"
2003," Nov","Manitoba"," 58.1%","Hotel Occupancy Rate"
2003," Nov","New Brunswick"," 53.2%","Hotel Occupancy Rate"
2003," Nov","Nova Scotia"," 63.7%","Hotel Occupancy Rate"
2003," Nov","Ontario"," 59.5%","Hotel Occupancy Rate"
2003," Nov","Quebec"," 55.3%","Hotel Occupancy Rate"
2003," Nov","Saskatchewan"," 62.9%","Hotel Occupancy Rate"
2003," Nov","Newfoundland"," 63.4%","Hotel Occupancy Rate"
2003," Dec","Canada"," 43.7%","Hotel Occupancy Rate"
2003," Dec","British Columbia"," 43.9%","Hotel Occupancy Rate"
2003," Dec","Manitoba"," 43.7%","Hotel Occupancy Rate"
2003," Dec","New Brunswick"," 36.3%","Hotel Occupancy Rate"
2003," Dec","Nova Scotia"," 39%","Hotel Occupancy Rate"
2003," Dec","Ontario"," 43.8%","Hotel Occupancy Rate"
2003," Dec","Quebec"," 44.7%","Hotel Occupancy Rate"
2003," Dec","Saskatchewan"," 42.8%","Hotel Occupancy Rate"
2003," Dec","Newfoundland"," 44.6%","Hotel Occupancy Rate"
2004," Jan","Canada"," 46.6%","Hotel Occupancy Rate"
2004," Jan","British Columbia"," 45.6%","Hotel Occupancy Rate"
2004," Jan","Manitoba"," 46.5%","Hotel Occupancy Rate"
2004," Jan","New Brunswick"," 37.7%","Hotel Occupancy Rate"
2004," Jan","Nova Scotia"," 40.9%","Hotel Occupancy Rate"
2004," Jan","Ontario"," 47.9%","Hotel Occupancy Rate"
2004," Jan","Quebec"," 46.3%","Hotel Occupancy Rate"
2004," Jan","Saskatchewan"," 48.8%","Hotel Occupancy Rate"
2004," Jan","Newfoundland"," 43.9%","Hotel Occupancy Rate"
2004," Feb","Canada"," 55.6%","Hotel Occupancy Rate"
2004," Feb","British Columbia"," 55.7%","Hotel Occupancy Rate"
2004," Feb","Manitoba"," 56.2%","Hotel Occupancy Rate"
2004," Feb","New Brunswick"," 49.8%","Hotel Occupancy Rate"
2004," Feb","Nova Scotia"," 55.2%","Hotel Occupancy Rate"
2004," Feb","Ontario"," 54.9%","Hotel Occupancy Rate"
2004," Feb","Quebec"," 54.7%","Hotel Occupancy Rate"
2004," Feb","Saskatchewan"," 55.9%","Hotel Occupancy Rate"
2004," Feb","Newfoundland"," 57.8%","Hotel Occupancy Rate"
2004," Mar","Canada"," 59%","Hotel Occupancy Rate"
2004," Mar","British Columbia"," 61.2%","Hotel Occupancy Rate"
2004," Mar","Manitoba"," 63.2%","Hotel Occupancy Rate"
2004," Mar","New Brunswick"," 58.3%","Hotel Occupancy Rate"
2004," Mar","Nova Scotia"," 62.8%","Hotel Occupancy Rate"
2004," Mar","Ontario"," 55.9%","Hotel Occupancy Rate"
2004," Mar","Quebec"," 57.3%","Hotel Occupancy Rate"
2004," Mar","Saskatchewan"," 64.2%","Hotel Occupancy Rate"
2004," Mar","Newfoundland"," 56.8%","Hotel Occupancy Rate"
2004," Apr","Canada"," 58.5%","Hotel Occupancy Rate"
2004," Apr","British Columbia"," 60.9%","Hotel Occupancy Rate"
2004," Apr","Manitoba"," 57.5%","Hotel Occupancy Rate"
2004," Apr","New Brunswick"," 55.4%","Hotel Occupancy Rate"
2004," Apr","Nova Scotia"," 61.3%","Hotel Occupancy Rate"
2004," Apr","Ontario"," 57.5%","Hotel Occupancy Rate"
2004," Apr","Quebec"," 56.5%","Hotel Occupancy Rate"
2004," Apr","Saskatchewan"," 57.3%","Hotel Occupancy Rate"
2004," Apr","Newfoundland"," 51.8%","Hotel Occupancy Rate"
2004," May","Canada"," 63.5%","Hotel Occupancy Rate"
2004," May","British Columbia"," 64.9%","Hotel Occupancy Rate"
2004," May","Manitoba"," 65.5%","Hotel Occupancy Rate"
2004," May","New Brunswick"," 58.8%","Hotel Occupancy Rate"
2004," May","Nova Scotia"," 66.5%","Hotel Occupancy Rate"
2004," May","Ontario"," 62%","Hotel Occupancy Rate"
2004," May","Quebec"," 68.5%","Hotel Occupancy Rate"
2004," May","Saskatchewan"," 58%","Hotel Occupancy Rate"
2004," May","Newfoundland"," 61.3%","Hotel Occupancy Rate"
2004," Jun","Canada"," 68.6%","Hotel Occupancy Rate"
2004," Jun","British Columbia"," 69.9%","Hotel Occupancy Rate"
2004," Jun","Manitoba"," 71.3%","Hotel Occupancy Rate"
2004," Jun","New Brunswick"," 62.6%","Hotel Occupancy Rate"
2004," Jun","Nova Scotia"," 73.3%","Hotel Occupancy Rate"
2004," Jun","Ontario"," 67.7%","Hotel Occupancy Rate"
2004," Jun","Quebec"," 70.9%","Hotel Occupancy Rate"
2004," Jun","Saskatchewan"," 62.1%","Hotel Occupancy Rate"
2004," Jun","Newfoundland"," 80.6%","Hotel Occupancy Rate"
2004," Jul","Canada"," 72.7%","Hotel Occupancy Rate"
2004," Jul","British Columbia"," 77.3%","Hotel Occupancy Rate"
2004," Jul","Manitoba"," 67%","Hotel Occupancy Rate"
2004," Jul","New Brunswick"," 75.1%","Hotel Occupancy Rate"
2004," Jul","Nova Scotia"," 83%","Hotel Occupancy Rate"
2004," Jul","Ontario"," 69.5%","Hotel Occupancy Rate"
2004," Jul","Quebec"," 74.9%","Hotel Occupancy Rate"
2004," Jul","Saskatchewan"," 59.5%","Hotel Occupancy Rate"
2004," Jul","Newfoundland"," 76.6%","Hotel Occupancy Rate"
2004," Aug","Canada"," 73.7%","Hotel Occupancy Rate"
2004," Aug","British Columbia"," 77.7%","Hotel Occupancy Rate"
2004," Aug","Manitoba"," 62%","Hotel Occupancy Rate"
2004," Aug","New Brunswick"," 76.9%","Hotel Occupancy Rate"
2004," Aug","Nova Scotia"," 86.2%","Hotel Occupancy Rate"
2004," Aug","Ontario"," 71.4%","Hotel Occupancy Rate"
2004," Aug","Quebec"," 78.5%","Hotel Occupancy Rate"
2004," Aug","Saskatchewan"," 59.1%","Hotel Occupancy Rate"
2004," Aug","Newfoundland"," 77.5%","Hotel Occupancy Rate"
2004," Sep","Canada"," 72.3%","Hotel Occupancy Rate"
2004," Sep","British Columbia"," 72.3%","Hotel Occupancy Rate"
2004," Sep","Manitoba"," 61.9%","Hotel Occupancy Rate"
2004," Sep","New Brunswick"," 68.5%","Hotel Occupancy Rate"
2004," Sep","Nova Scotia"," 85.5%","Hotel Occupancy Rate"
2004," Sep","Ontario"," 73.2%","Hotel Occupancy Rate"
2004," Sep","Quebec"," 76.3%","Hotel Occupancy Rate"
2004," Sep","Saskatchewan"," 60.2%","Hotel Occupancy Rate"
2004," Sep","Newfoundland"," 74%","Hotel Occupancy Rate"
2004," Oct","Canada"," 65.1%","Hotel Occupancy Rate"
2004," Oct","British Columbia"," 58.7%","Hotel Occupancy Rate"
2004," Oct","Manitoba"," 64.1%","Hotel Occupancy Rate"
2004," Oct","New Brunswick"," 62.1%","Hotel Occupancy Rate"
2004," Oct","Nova Scotia"," 73.1%","Hotel Occupancy Rate"
2004," Oct","Ontario"," 66.9%","Hotel Occupancy Rate"
2004," Oct","Quebec"," 71.1%","Hotel Occupancy Rate"
