Year, Month, Eastern Ontario, Kingston, Other Eastern Ontario, Ottawa, Downtown Ottawa, Ottawa West, Ottawa East, Greater Vancouver, Central Ontario, 
2002, Jun, 71.8%, 71.1%, 72.2%, 73.9%, 76.5%, 65.1%, 67.9%, 74.8%, 64.2%, 
2002, Jul, 76.7%, 79.5%, 75.1%, 63.4%, 64.4%, 64.1%, 57.1%, 78.6%, 77.4%, 
2002, Aug, 81.6%, 84.5%, 80.1%, 67.2%, 69%, 65.1%, 59.3%, 84.8%, 79.7%, 
2002, Sep, 69.9%, 78.8%, 65.7%, 75.9%, 78.7%, 64.6%, 72%, 72.1%, 64.3%, 
2002, Oct, 62.9%, 70.5%, 59.2%, 73.8%, 75.5%, 64.6%, 74.9%, 62.1%, 55.3%, 
2002, Nov, 50.7%, 55.1%, 48.6%, 65.8%, 67.8%, 56%, 66%, 52.9%, 42%, 
2002, Dec, 34.1%, 36.4%, 33%, 44.3%, 44.9%, 40.9%, 45%, 44%, 36.9%, 
2003, Jan, 40.1%, 43.1%, 38.7%, 50.7%, 52.8%, 43.5%, 45.9%, 44.5%, 45.5%, 
2003, Feb, 49.3%, 56.4%, 46.1%, 66.3%, 67.2%, 61.3%, 64.9%, 53.3%, 53.1%, 
2003, Mar, 49.3%, 53.8%, 47.1%, 61.2%, 63%, 52.1%, 60.6%, 56.5%, 46.4%, 
2003, Apr, 47.6%, 52%, 45.4%, 58.3%, 59.6%, 52.8%, 56.9%, 55.7%, 41.4%, 
2003, May, 54.2%, 59.8%, 51.4%, 71.8%, 72.9%, 67.6%, 69.8%, 65.6%, 47.5%, 
2003, Jun, 62.3%, 67.7%, 59.6%, 70.3%, 74.3%, 58%, 64.7%, 67.9%, 57.5%, 
2003, Jul, 67.6%, 67.7%, 67.5%, 60.1%, 63.6%, 54.1%, 47.8%, 75.3%, 64.8%, 
2003, Aug, 74.7%, 77%, 73.5%, 58.8%, 59.9%, 59.6%, 50.9%, 84.1%, 74.7%, 
2003, Sep, 64.1%, 69.2%, 61.6%, 70.3%, 71.7%, 65.4%, 68.7%, 73.1%, 63%, 
2003, Oct, 63.2%, 70.6%, 59.6%, 71.3%, 73.8%, 64.1%, 66.4%, 62.6%, 55.1%, 
2003, Nov, 51.1%, 54.4%, 49.4%, 64.5%, 67.2%, 53.1%, 65.7%, 55.8%, 41.3%, 
2003, Dec, 37.4%, 36.8%, 37.7%, 42.6%, 42.8%, 41.3%, 43.8%, 45.7%, 37.1%, 
2004, Jan, 39.8%, 38.6%, 40.4%, 46.5%, 48.7%, 38.6%, 45.2%, 47.2%, 40.5%, 
2004, Feb, 48%, 54.5%, 45%, 66.3%, 70.1%, 52.7%, 63.7%, 56%, 48.7%, 
2004, Mar, 49.8%, 55.5%, 46.9%, 61.3%, 63.4%, 52.8%, 61.5%, 63.2%, 42.8%, 
2004, Apr, 48.5%, 56.6%, 44.6%, 57.9%, 59%, 52.2%, 60.3%, 63.4%, 39.7%, 
2004, May, 57.1%, 61%, 55%, 68%, 72.7%, 57.5%, 59.3%, 72.9%, 45.9%, 
2004, Jun, 66.7%, 68.5%, 65.7%, 71.9%, 76.5%, 65.5%, 59%, 77.7%, 56.1%, 
2004, Jul, 73%, 74.6%, 72.1%, 62.4%, 66%, 62.4%, 46.9%, 81.3%, 66%, 
2004, Aug, 73.2%, 76.3%, 71.5%, 62.4%, 66.6%, 64.5%, 41.8%, 83.5%, 68.5%, 
2004, Sep, 71.8%, 74%, 70.6%, 74.5%, 76.1%, 71.4%, 68%, 79.8%, 61.4%, 
2004, Oct, 64.5%, 69.5%, 61.9%, 73.3%, 75.7%, 63.1%, 75.9%, 65.9%, 54.6%, 
2004, Nov, 52.6%, 55.9%, 50.7%, 72.5%, 75.9%, 58%, 75.2%, 57%, 40.3%, 
2004, Dec, 39%, 39.4%, 38.8%, 46.5%, 46.6%, 45.7%, 47.3%, 49%, 38.7%, 
2005, Jan, 42.4%, 44.5%, 41.2%, 47.8%, 49.2%, 42.7%, 46.6%, 47%, 41.2%, 
2005, Feb, 48.7%, 49.3%, 48.4%, 69.4%, 73.6%, 57.3%, 59.6%, 59.2%, 55%, 
2005, Mar, 46.6%, 52.5%, 43.3%, 55.9%, 57.3%, 49.9%, 56.5%, 62.5%, 46.5%, 
2005, Apr, 53.2%, 62.8%, 47.9%, 61.2%, 62.5%, 58.8%, 56.2%, 67.3%, 40.3%, 
2005, May, 56%, 60.1%, 53.8%, 73.9%, 79.9%, 63.9%, 56.9%, 74.7%, 44.2%, 
2005, Jun, 69.4%, 73.1%, 67.3%, 73.8%, 78.6%, 68.4%, 58.4%, 79.8%, 55.9%, 
2005, Jul, 75.9%, 75.4%, 76.2%, 63.9%, 67.3%, 64.3%, 48%, 83%, 67.6%, 
2005, Aug, 73.4%, 75.9%, 72.1%, 65.5%, 66.7%, 67.3%, 57.8%, 86.4%, 70%, 
2005, Sep, 71.3%, 77%, 68.3%, 78.8%, 80.4%, 76.2%, 71.9%, 84%, 61.9%, 
2005, Oct, 64.2%, 72.8%, 59.8%, 73.9%, 75.5%, 71%, 66.5%, 68.1%, 54.4%, 
2005, Nov, 56.7%, 60.4%, 54.8%, 69.2%, 71.3%, 63.5%, 63.5%, 64.4%, 41%, 
2005, Dec, 40.8%, 39.6%, 41.4%, 48%, 48.4%, 48.1%, 44.4%, 53.7%, 39.9%, 
2006, Jan, 42.7%, 43.4%, 42.4%, 53.7%, 54.4%, 52.2%, 50.4%, 59.1%, 46%, 
2006, Feb, 52.2%, 54.9%, 50.8%, 70.5%, 73.8%, 59.7%, 64.9%, 66.1%, 56%, 
2006, Mar, 52.5%, 55.8%, 50.8%, 63%, 64.6%, 60.2%, 55.8%, 69%, 47%, 
2006, Apr, 52.7%, 59.5%, 49.4%, 64%, 64.9%, 60.2%, 64.3%, 64.2%, 39.7%, 
2006, May, 59.6%, 66.3%, 56.5%, 80.2%, 83.7%, 75.2%, 68.2%, 79.3%, 48%, 
2006, Jun, 67.4%, 71.9%, 65.4%, 76.8%, 79.8%, 73.4%, 67.1%, 85.9%, 61.1%, 
2006, Jul, 72.8%, 75.6%, 71.4%, 62%, 62.7%, 66.4%, 53.9%, 85.7%, 64.8%, 
2006, Aug, 76.4%, 80.7%, 74.4%, 69.8%, 71.2%, 70.8%, 61.7%, 86.6%, 71.7%, 
2006, Sep, 73.4%, 77.8%, 71.3%, 81%, 81.9%, 80.6%, 74.9%, 83.2%, 61.1%, 
2006, Oct, 61.2%, 65.9%, 58.8%, 77.9%, 79.4%, 73.9%, 72.9%, 72.3%, 50.4%, 
2006, Nov, 55.7%, 60.6%, 53.1%, 73.5%, 75.7%, 65.4%, 70%, 65.8%, 38%, 
2006, Dec, 39.1%, 38.4%, 39.5%, 50.8%, 50.6%, 50.5%, 52.6%, 54.7%, 35.2%, 
2007, Jan, 41.4%, 43.7%, 40.2%, 50.8%, 50.7%, 50.5%, 51.6%, 55.9%, 34.3%, 
2007, Feb, 46.5%, 48.5%, 45.5%, 75.3%, 76.8%, 68.9%, 75.2%, 65.5%, 47.3%, 
2007, Mar, 46.7%, 51%, 44.6%, 65%, 65.4%, 62.9%, 65.4%, 70.6%, 44.9%, 
2007, Apr, 48.7%, 56.7%, 44.8%, 62.9%, 63.1%, 62.3%, 62.4%, 69%, 33.4%, 
2007, May, 59.4%, 64.8%, 56.8%, 77.7%, 81.8%, 73.6%, 60.9%, 81.8%, 44%, 
2007, Jun, 70.5%, 77.5%, 67.4%, 80.4%, 82.5%, 82%, 68.6%, 86.3%, 56.8%, 
2007, Jul, 71.4%, 73.6%, 70.4%, 70.1%, 70.9%, 72.5%, 63.3%, 86.1%, 56.4%, 
2007, Aug, 76.2%, 79.7%, 74.7%, 71.9%, 73.6%, 76.6%, 57.2%, 87.8%, 66.4%, 
2007, Sep, 70.5%, 76%, 68.1%, 79.4%, 80.1%, 77.8%, 76.1%, 84.5%, 60.1%, 
2007, Oct, 61.2%, 66.5%, 58.8%, 80.7%, 81.6%, 78.7%, 77.3%, 74.8%, 50.9%, 
2007, Nov, 55.9%, 62.5%, 53%, 72.4%, 72.4%, 71.6%, 73.5%, 66.3%, 41.9%, 
2007, Dec, 58%, 62.3%, 56%, 70.2%, 71%, 69.9%, 64.8%, 55.7%, 49.2%, 
2008, Jan, 41.7%, 45.9%, 39.6%, 54%, 53.2%, 57.3%, 54.6%, 57.5%, 36.9%, 
2008, Feb, 49.8%, 55.6%, 47.1%, 74.2%, 75.8%, 70.6%, 67.4%, 69%, 52.3%, 
2008, Mar, 48.2%, 53.1%, 46.1%, 62%, 61.8%, 62.4%, 63.3%, 67.1%, 47.2%, 
2008, Apr, 51.4%, 56.2%, 49.1%, 70.3%, 71.2%, 66%, 70.8%, 72.3%, 38.5%, 
2008, May, 58.2%, 62.8%, 56.1%, 78.9%, 82.3%, 73.5%, 67.4%, 80.8%, 47.1%, 
2008, Jun, 65.4%, 69.1%, 63.8%, 79.9%, 82.6%, 75.5%, 72%, 84.5%, 56.7%, 
2008, Jul, 69.1%, 70.5%, 68.5%, 67.7%, 70.3%, 68%, 53.6%, 82.5%, 61.2%, 
2008, Aug, 76.2%, 80.5%, 74.4%, 76%, 79.8%, 68.3%, 65.7%, 85.8%, 70%, 
2008, Sep, 68.3%, 78.5%, 64%, 79%, 81.6%, 70.3%, 76.1%, 79%, 61.2%, 
2008, Oct, 62.8%, 75.8%, 58%, 77.4%, 79.2%, 68.5%, 81.7%, 68.9%, 55.9%, 
2008, Nov, 54%, 60.3%, 51.6%, 70.1%, 71.9%, 63%, 69.7%, 60.4%, 43.3%, 
2008, Dec, 36.9%, 39.6%, 35.9%, 52.8%, 54.9%, 46.7%, 50.2%, 49.9%, 37.6%, 
2009, Jan, 42.9%, 50.7%, 39.9%, 54.5%, 54.8%, 54.4%, 52.5%, 50.9%, 38.5%, 
2009, Feb, 47.1%, 54.9%, 44.2%, 71.8%, 75.4%, 59.9%, 68%, 62.6%, 41.7%, 
2009, Mar, 45.8%, 57.4%, 41.4%, 62.4%, 64.7%, 53%, 65.2%, 61.9%, 35.9%, 
2009, Apr, 45.5%, 59.7%, 40.1%, 59.5%, 61%, 51.2%, 67%, 61.4%, 35.6%, 
2009, May, 52.1%, 62.3%, 48.3%, 75.2%, 80.7%, 64.7%, 62%, 68.8%, 42.5%, 
2009, Jun, 60.2%, 67.4%, 57.3%, 72.2%, 75.8%, 62.8%, 67.4%, 70.1%, 51.2%, 
2009, Jul, 58.5%, 67.2%, 55.1%, 62.6%, 67.3%, 53.7%, 51.5%, 74.6%, 59.9%, 
2009, Aug, 64.8%, 72.8%, 61.6%, 66.2%, 71%, 63.3%, 45.7%, 81%, 67.9%, 
2009, Sep, 64.3%, 71.4%, 61.5%, 75.9%, 79.4%, 66%, 70.3%, 75.7%, 59.5%, 
2009, Oct, 54.7%, 60.2%, 52.5%, 72%, 73.8%, 63.5%, 75.2%, 63.9%, 51.6%, 
2009, Nov, 51.2%, 56%, 49.1%, 66.5%, 68.7%, 58%, 66.5%, 57.9%, 39.1%, 
2009, Dec, 34.3%, 33.6%, 34.5%, 48.9%, 49.4%, 45.2%, 52.7%, 46.8%, 32.8%, 
2010, Jan, 37.5%, 38.6%, 37%, 49.4%, 49.8%, 50.7%, 42.5%, 52.2%, 31.4%, 
2010, Feb, 42.1%, 43.6%, 41.5%, 66.1%, 67.9%, 60.6%, 63.6%, 87.3%, 40.6%, 
2010, Mar, 43.9%, 48.7%, 41.9%, 64.4%, 66.9%, 59.1%, 54.9%, 61%, 40.1%, 
2010, Apr, 44.9%, 51.7%, 42.1%, 61%, 62.2%, 56.4%, 60.8%, 60.3%, 36.3%, 
2010, May, 54.6%, 62%, 51.7%, 77.3%, 80.2%, 66.9%, 75.2%, 71.4%, 46.5%, 
2010, Jun, 62.9%, 64.3%, 62.3%, 77.6%, 80.5%, 66.9%, 76.4%, 73.9%, 62.3%, 
2010, Jul, 64.1%, 66.3%, 63.2%, 67.9%, 70.7%, 59.9%, 62.9%, 77.7%, 65.4%, 
2010, Aug, 64.6%, 66.9%, 63.5%, 70.5%, 73.7%, 61.8%, 64.8%, 81.7%, 71.9%, 
2010, Sep, 62%, 63.3%, 61.4%, 78.3%, 81%, 70%, 75.1%, 76.3%, 60.5%, 
2010, Oct, 58%, 62.4%, 55.9%, 75.6%, 77.8%, 66.7%, 79.4%, 69%, 54.4%, 
2010, Nov, 50.8%, 51.1%, 50.7%, 71.1%, 73.3%, 64.4%, 69.4%, 59.3%, 41.6%, 
2010, Dec, 34.8%, 35%, 34.7%, 52.4%, 52.6%, 51.9%, 51.5%, 47.5%, 35.8%, 
2011, Jan, 38.1%, 40.3%, 37%, 53.9%, 54.2%, 56.6%, 44.8%, 47.5%, 34.7%, 
2011, Feb, 44.2%, 43.3%, 44.6%, 73.3%, 76.2%, 64.7%, 68.7%, 57.2%, 43%, 
2011, Mar, 48%, 52.1%, 45.8%, 64.5%, 65.1%, 63.6%, 62.4%, 62.2%, 38.1%, 
2011, Apr, 44%, 51%, 40.5%, 61.9%, 62.4%, 58.5%, 65.2%, 62.7%, 36.9%, 
2011, May, 51.2%, 53.7%, 50%, 78.8%, 81.1%, 70.6%, 77.7%, 79.5%, 43.8%, 
2011, Jun, 63.1%, 66.2%, 61.5%, 80.6%, 82.4%, 75%, 77.7%, 80.2%, 54.6%, 
2011, Jul, 65.8%, 70.3%, 63.5%, 71.1%, 72.5%, 66.2%, 70%, 82.2%, 65.7%, 
2011, Aug, 65.7%, 70.9%, 63.1%, 74.3%, 75.1%, 72.6%, 71.6%, 83%, 68.2%, 
2011, Sep, 64.8%, 71%, 61.5%, 83.6%, 85%, 80.3%, 79.1%, 79%, 60.9%, 
2011, Oct, 57.3%, 59.8%, 56%, 76.6%, 77.7%, 74.7%, 71.7%, 62.6%, 52.5%, 
2011, Nov, 53.6%, 54.9%, 52.9%, 76.5%, 79%, 71.1%, 67.4%, 61.6%, 42.4%, 
2011, Dec, 36%, 36.4%, 35.7%, 54%, 54.1%, 54.1%, 52.4%, 47.8%, 33.8%, 
2012, Jan, 42%, 44.9%, 40.4%, 58%, 59.8%, 56.7%, 46.3%, 50.3%, 36.9%, 
2012, Feb, 47.3%, 48.4%, 46.8%, 76%, 77.2%, 75.8%, 66.9%, 57.2%, 42.7%, 
2012, Mar, 46.1%, 51%, 43.5%, 66.2%, 70%, 70.1%, 41.2%, 64.5%, 39.8%, 
2012, Apr, 44.8%, 52.3%, 41.1%, 62.7%, 65.4%, 63.8%, 47.1%, 66.6%, 35%, 
2012, May, 54.4%, 60.4%, 51.3%, 78.2%, 81.8%, 75.5%, 63.4%, 76.8%, 44.6%, 
2012, Jun, 64.3%, 69.7%, 61.5%, 80.7%, 83.4%, 81.1%, 66.6%, 74.6%, 53.6%, 
2012, Jul, 63.3%, 66.8%, 61.5%, 67.5%, 70.8%, 67.5%, 51.2%, 80.5%, 64.4%, 
2012, Aug, 66%, 71.6%, 63.2%, 72.1%, 75.3%, 69.1%, 59.8%, 82.9%, 68.9%, 
2012, Sep, 63.6%, 69.9%, 60.4%, 77.8%, 81.5%, 76.3%, 61.1%, 77.5%, 59.1%, 
2012, Oct, 59.4%, 60.8%, 58.5%, 73.9%, 77.4%, 74.1%, 55.6%, 66%, 50.4%, 
2012, Nov, 53.2%, 55.9%, 51.6%, 69.3%, 73.1%, 70.6%, 48.6%, 58.2%, 40.3%, 
2012, Dec, 37.7%, 36%, 38.8%, 48.9%, 51.6%, 48.7%, 34.6%, 48%, 35.9%, 
2013, Jan, 42.9%, 44.9%, 41.6%, 48.9%, 50%, 56.6%, 33%, 49.22%, 38.6%, 
2013, Feb, 48.5%, 51%, 46.9%, 66.9%, 70.1%, 66.9%, 50.8%, 56.3%, 45.4%, 
2013, Mar, 46.1%, 52.2%, 42.6%, 60.8%, 63.2%, 65.2%, 43.1%, 57.6%, 41.8%, 
2013, Apr, 53%, 56.4%, 51%, 68.4%, 70%, 72%, 55.4%, 63.9%, 37.5%, 
2013, May, 55.92%, 57.87%, 54.85%, 79.18%, 81.65%, 78.03%, 68.06%, 74.5%, 44.24%, 
2013, Jun, 67.7%, 71.2%, 65.7%, 77.3%, 79.9%, 75.2%, 66.5%, 83.6%, 56%, 
2013, Jul, 67.6%, 66.2%, 68.4%, 72.8%, 76.9%, 71.1%, 54%, 85.1%, 65.7%, 
2013, Aug, 74.4%, 73.5%, 75%, 75.2%, 78.6%, 73.4%, 60.4%, 89.2%, 71.4%, 
2013, Sep, 64.7%, 65.4%, 64.2%, 75.7%, 78.4%, 76.2%, 61.7%, 83.7%, 57.1%, 
2013, Oct, 62.5%, 65.2%, 60.9%, 75.9%, 77.5%, 77.7%, 65.3%, 68.5%, 54.1%, 
2013, Nov, 51.5%, 52.9%, 50.6%, 69.9%, 73.3%, 70.4%, 52.2%, 62.2%, 42.6%, 
2013, Dec, 36.9%, 37.2%, 36.8%, 48.2%, 49.7%, 51%, 36.3%, 52.9%, 38.3%, 
2014, Jan, 43.7%, 49.1%, 40.5%, 52.8%, 55.5%, 57.6%, 33.1%, 54.8%, 40%, 
2014, Feb, 46.4%, 48.1%, 45.3%, 68.2%, 72.7%, 66.1%, 50.7%, 61.8%, 50.6%, 
2014, Mar, 48.7%, 53.9%, 45.4%, 60%, 63.2%, 61.9%, 43.2%, 64%, 43.2%, 
2014, Apr, 53.9%, 61.6%, 49.4%, 65.1%, 67.9%, 65.6%, 51.9%, 69.4%, 35.3%, 
2014, May, 60.1%, 62%, 59%, 76.1%, 83%, 71.8%, 58.2%, 80.9%, 46.3%, 
2014, Jun, 66.7%, 70%, 64.9%, 80.2%, 85.8%, 78%, 64.4%, 85.2%, 55.6%, 
2014, Jul, 70.2%, 68.9%, 70.9%, 71.1%, 77.7%, 71.3%, 51.1%, 84.8%, 65.9%, 
2014, Aug, 77.2%, 80.5%, 75.5%, 77.5%, 81.8%, 78.4%, 61.1%, 92.2%, 73%, 
2014, Sep, 67.2%, 68.1%, 66.7%, 80.9%, 83.3%, 81.6%, 69.8%, 82.4%, 61.7%, 
2014, Oct, 60.9%, 64.6%, 58.8%, 79%, 81.1%, 79.9%, 68.9%, 70.5%, 56.1%, 
2014, Nov, 51.6%, 54.9%, 49.7%, 72.2%, 76.4%, 70%, 57.8%, 67.7%, 44.4%, 
2014, Dec, 39.6%, 40.2%, 39.3%, 55.1%, 56.9%, 55.4%, 46.5%, 54.9%, 40%, 
2015, Jan, 45.8%, 51.1%, 42.8%, 55.6%, 57.4%, 59.2%, 43.6%, 57.6%, 42.8%, 
2015, Feb, 43.2%, 44.3%, 42.5%, 70.4%, 76.5%, 67.2%, 51.5%, 64.7%, 48.7%, 
2015, Mar, 47%, 50.9%, 44.8%, 67.4%, 71.6%, 69.4%, 48.2%, 67.9%, 44.3%, 
2015, Apr, 49.3%, 55.8%, 45.8%, 65.8%, 68.6%, 67.2%, 53.4%, 71.6%, 39.4%, 
2015, May, 57%, 61.2%, 54.9%, 79.6%, 85.6%, 79.1%, 62.9%, 83.5%, 50%, 
2015, Jun, 66.8%, 71.4%, 64.5%, 83.8%, 89.9%, 81.8%, 68.4%, 90.2%, 58.6%, 
2015, Jul, 73.4%, 76.4%, 71.9%, 74%, 79.7%, 75%, 53.9%, 92.3%, 73%, 
2015, Aug, 77.6%, 81.5%, 75.7%, 75.8%, 81.3%, 78%, 54.7%, 92.4%, 73.5%, 
2015, Sep, 70.9%, 74.1%, 69.3%, 84%, 85.4%, 83.3%, 78.5%, 87.2%, 66.9%, 
2015, Oct, 60.3%, 63.9%, 58.5%, 78.1%, 79.1%, 80.2%, 69.5%, 75.9%, 57.3%, 
2015, Nov, 52.6%, 57.4%, 50.3%, 74.4%, 78.9%, 70%, 61.8%, 67.7%, 47.2%, 
2015, Dec, 39.6%, 41.7%, 38.5%, 54%, 56.1%, 53.4%, 45.4%, 60.5%, 38.8%, 
2016, Jan, 41.6%, 46.5%, 39%, 55.2%, 60%, 55.3%, 37.6%, 59.6%, 41.3%, 
2016, Feb, 44.9%, 48.9%, 42.7%, 72%, 78.9%, 67.2%, 53.6%, 70.4%, 47.9%, 
2016, Mar, 45.2%, 50.6%, 42.2%, 66.9%, 72%, 63.5%, 53.3%, 74.9%, 43.2%, 
2016, Apr, 49.4%, 52.9%, 47.5%, 67.6%, 71.7%, 66.5%, 54.2%, 78.3%, 47.1%, 
2016, May, 58.8%, 61.1%, 57.6%, 80.8%, 84.6%, 81.5%, 69%, 82.2%, 52.6%, 
2016, Jun, 67.9%, 70.8%, 66.3%, 81.7%, 85.6%, 81.1%, 71.7%, 88.7%, 61.9%, 
2016, Jul, 78.7%, 77.2%, 79.6%, 76.7%, 83.1%, 76%, 59.2%, 93.9%, 76.7%, 
2016, Aug, 80.1%, 81.7%, 79.2%, 79.3%, 85.6%, 77.3%, 62%, 91.2%, 78.7%, 
2016, Sep, 74.4%, 75.5%, 73.7%, 80.7%, 82.9%, 80.6%, 72.2%, 91.2%, 66.9%, 
2016, Oct, 64.6%, 66.3%, 63.6%, 77.9%, 78.9%, 78.6%, 72.6%, 78%, 63.1%, 
2016, Nov, 55.7%, 57.4%, 54.7%, 76.7%, 79.8%, 76.5%, 64.8%, 71.9%, 49.5%, 
2016, Dec, 42.1%, 41.5%, 42.5%, 52.2%, 53.2%, 53.8%, 45.9%, 64%, 43.1%, 
2017, Jan, 41.8%, 43.7%, 40.7%, 56.3%, 57.7%, 58.9%, 46.2%, 60.2%, 44.5%, 
2017, Feb, 44.6%, 41.5%, 46.2%, 70.5%, 74.4%, 66.3%, 63%, 71.1%, 51.2%, 
2017, Mar, 47.3%, 50.4%, 45.6%, 68.9%, 70%, 70.8%, 61%, 73.9%, 46.6%, 
2017, Apr, 49.9%, 55%, 47.1%, 67.7%, 70.5%, 66.6%, 58.6%, 78%, 45.4%, 
2017, May, 61.3%, 65.3%, 59.1%, 81.1%, 83.7%, 83.3%, 70.8%, 83.5%, 56%, 
2017, Jun, 69%, 73.1%, 66.7%, 83.4%, 85.9%, 83.3%, 76.2%, 89.7%, 64%, 
2017, Jul, 78.9%, 80.3%, 78.2%, 76.7%, 79.2%, 77.8%, 67.9%, 93.2%, 77.7%, 
2017, Aug, 83.8%, 86.8%, 82.2%, 85.1%, 86.6%, 85.9%, 78.6%, 93.3%, 80.4%, 
2017, Sep, 75.9%, 78.3%, 74.6%, 84.9%, 86.8%, 82.7%, 81.5%, 90.7%, 69.7%, 
2017, Oct, 66.8%, 69.9%, 65.1%, 81.1%, 82.3%, 80.8%, 76.5%, 81.2%, 64.1%, 
2017, Nov, 57.8%, 62.7%, 55.2%, 80.5%, 83.1%, 79%, 73%, 71%, 53.4%, 
2017, Dec, 41.6%, 43.2%, 40.7%, 59.5%, 59.6%, 63.7%, 51.3%, 64.1%, 44.8%, 
2018, Jan, 45.1%, 49.7%, 42.4%, 57.3%, 58.6%, 61%, 45.5%, 62.8%, 45.6%, 
2018, Feb, 47.6%, 50.9%, 45.8%, 74%, 77.5%, 72.3%, 63%, 72.7%, 52.1%, 
2018, Mar, 49.8%, 54.5%, 47.2%, 66.2%, 66.3%, 69%, 60.8%, 77.2%, 50.1%, 
2018, Apr, 54.2%, 61.4%, 50.3%, 67.3%, 67%, 70.8%, 62%, 77.8%, 46.5%, 
2018, May, 65.6%, 70.3%, 63%, 78.3%, 83.5%, 80.7%, 61.5%, 85.4%, 55.2%, 
2018, Jun, 72.7%, 74.6%, 71.8%, 79.9%, 83.5%, 80.3%, 68.7%, 89.9%, 66%, 
2018, Jul, 80.5%, 81.7%, 79.9%, 74.4%, 76%, 76.8%, 65.7%, 89%, 77%, 
2018, Aug, 85.7%, 89.2%, 83.9%, 82.6%, 85.4%, 83.7%, 71.8%, 92.1%, 79.3%, 
2018, Sep, 78.7%, 81.9%, 76.9%, 86.3%, 87.6%, 85.1%, 83%, 88.9%, 68.8%, 
2018, Oct, 70.2%, 73.3%, 68.5%, 83.7%, 85.1%, 82.6%, 80.5%, 82.7%, 62.3%, 
2018, Nov, 57.8%, 62.4%, 55.4%, 76.3%, 78.9%, 73.6%, 71.3%, 74.8%, 51.9%, 
2018, Dec, 42.4%, 47%, 39.9%, 55.6%, 58.3%, 54%, 48.4%, 64.5%, 46.6%, 
2019, Jan, 44.9%, 50.5%, 41.9%, 53.5%, 54.4%, 54.2%, 48.3%, 65.8%, 44.4%, 
2019, Feb, 46.3%, 46.7%, 46%, 69.2%, 72.6%, 65.2%, 63.5%, 73.9%, 52.1%, 
2019, Mar, 47.9%, 54.9%, 44.2%, 63.9%, 64.6%, 66.8%, 54.4%, 74.9%, 50.6%, 
2019, Apr, 53.5%, 57%, 51.7%, 68.1%, 68.8%, 69.1%, 63.1%, 79.7%, 47.6%, 
2019, May, 62.9%, 62.9%, 62.9%, 83.2%, 85.7%, 83.7%, 75%, 83.6%, 55%, 
2019, Jun, 71.6%, 73.3%, 70.7%, 81.3%, 84.1%, 83.1%, 69.1%, 90.2%, 65.2%, 
2019, Jul, 79.2%, 79.3%, 79.2%, 72%, 75.3%, 70.4%, 63.5%, 89%, 73.8%, 
2019, Aug, 86.7%, 89.4%, 85.3%, 80.3%, 83.5%, 76.3%, 76.8%, 90.7%, 78.5%, 
2019, Sep, 73.6%, 72.9%, 74%, 77.9%, 79%, 77.6%, 73.7%, 90.3%, 65.1%, 
2019, Oct, 67.7%, 69.9%, 66.6%, 77.2%, 78.4%, 76.9%, 72.9%, 78.9%, 62.6%, 
2019, Nov, 56.5%, 56.5%, 56.4%, 72.8%, 74.7%, 72.9%, 63.9%, 74.1%, 51.2%, 
