Year, Month, Downtown Vancouver, Vancouver Island, Whistler Resort Area, Alberta Resorts, Calgary, Edmonton, Regina, Winnipeg, Greater Montreal, Downtown  Montreal, 
2003, Jul, 78.4%, 75.7%, 57.1%, 74.9%, 76.5%, 64.2%, 60.9%, 64.7%, 69.4%, 69.4%, 
2003, Aug, 86.8%, 84.4%, 64%, 80%, 72.7%, 66.2%, 70%, 67.2%, 76.9%, 76.6%, 
2003, Sep, 78.3%, 70.8%, 38.5%, 66.1%, 69.7%, 59.8%, 62.9%, 61.4%, 72.9%, 73.1%, 
2003, Oct, 65.3%, 60.6%, 23.1%, 52.6%, 62.9%, 63.4%, 63.9%, 64.5%, 76%, 79.2%, 
2003, Nov, 56.4%, 48.3%, 23.8%, 38.6%, 55.3%, 68.3%, 72.1%, 60.2%, 61%, 61%, 
2003, Dec, 44.4%, 39.9%, 65.9%, 43.2%, 44.4%, 48%, 42.3%, 44.2%, 47.1%, 44.3%, 
2004, Jan, 44.6%, 41.9%, 68.1%, 43.6%, 46.9%, 49.9%, 50.1%, 46.6%, 48.5%, 46.3%, 
2004, Feb, 55.6%, 61.3%, 76.6%, 53.3%, 55.9%, 63.8%, 53%, 57.4%, 53.9%, 50.6%, 
2004, Mar, 65.2%, 66.1%, 69%, 51%, 65.4%, 67.2%, 61.7%, 64.5%, 62.6%, 62.8%, 
2004, Apr, 68%, 67.7%, 60.7%, 50.9%, 63.2%, 67%, 56.7%, 57.5%, 63%, 61.9%, 
2004, May, 78.3%, 65.2%, 37.2%, 62.3%, 67.9%, 64.5%, 48.6%, 69.4%, 74.7%, 75.6%, 
2004, Jun, 83.7%, 70.3%, 48.8%, 68.6%, 75.3%, 62.4%, 59.6%, 75%, 76.1%, 76.1%, 
2004, Jul, 84%, 78.7%, 64.7%, 81.4%, 83%, 66.2%, 58.8%, 64.6%, 78.3%, 79.8%, 
2004, Aug, 86%, 81.3%, 62.8%, 81.2%, 73.3%, 67.2%, 60.3%, 62.8%, 82.9%, 85.3%, 
2004, Sep, 84%, 73.5%, 45.6%, 72.9%, 75.7%, 63.3%, 57.2%, 63.3%, 79.7%, 80.3%, 
2004, Oct, 68.5%, 61.1%, 22.8%, 55.3%, 69.2%, 63.3%, 61.3%, 67.2%, 74.1%, 76.1%, 
2004, Nov, 56.1%, 47.2%, 24.3%, 41.2%, 59.9%, 69.1%, 66.6%, 66.1%, 63.8%, 63.4%, 
2004, Dec, 48.7%, 42%, 67.3%, 47.1%, 44.9%, 48.7%, 40.6%, 48%, 47.5%, 43.6%, 
2005, Jan, 44.7%, 42.1%, 74.4%, 39.3%, 50.1%, 49.1%, 45%, 47.6%, 45.6%, 39.4%, 
2005, Feb, 59.9%, 59.7%, 68.7%, 52.2%, 61%, 66.2%, 55.3%, 61%, 56.2%, 52.2%, 
2005, Mar, 62.6%, 67%, 65.4%, 57%, 63.7%, 68.7%, 54.5%, 63%, 57.3%, 54.4%, 
2005, Apr, 70.2%, 68.5%, 52.9%, 50.1%, 65.9%, 66.3%, 66.4%, 65.6%, 67.8%, 68.3%, 
2005, May, 78%, 67.4%, 42.8%, 65.6%, 70.2%, 63.3%, 62.1%, 61.9%, 66.2%, 65.2%, 
2005, Jun, 83.3%, 72.9%, 51.2%, 70.5%, 83.2%, 69.5%, 68.1%, 69.4%, 77.1%, 77.3%, 
2005, Jul, 85.1%, 77.1%, 61.2%, 81.7%, 86.6%, 76%, 65.2%, 66.9%, 80.3%, 81.2%, 
2005, Aug, 88.8%, 82.5%, 61.3%, 82%, 79.9%, 68.5%, 79.7%, 66.4%, 80.1%, 81.6%, 
2005, Sep, 89.1%, 74.3%, 54.4%, 77.5%, 81.5%, 71.7%, 69.6%, 65.6%, 82.2%, 83.9%, 
2005, Oct, 71.8%, 59.1%, 29.7%, 58.5%, 73.6%, 68.7%, 70.8%, 69.5%, 76.6%, 79.1%, 
2005, Nov, 65.9%, 55.1%, 26.5%, 42.7%, 71%, 73.4%, 75.9%, 61.7%, 67.2%, 68.2%, 
2005, Dec, 53.3%, 48%, 64.8%, 46.9%, 52.2%, 51.9%, 55.3%, 46.3%, 52.8%, 51.5%, 
2006, Jan, 48.2%, 50.2%, 40.6%, 40.2%, 56.2%, 55.6%, 50.9%, 48.5%, 47.1%, 43%, 
2006, Feb, 60.5%, 53.9%, 50.6%, 53.4%, 65.7%, 71.6%, 63.5%, 63.3%, 58%, 54.5%, 
2006, Mar, 66.1%, 49.3%, 56.4%, 57.3%, 77.8%, 75.6%, 76.9%, 63.2%, 59.5%, 57.8%, 
2006, Apr, 59.6%, 59%, 57%, 47.3%, 71.5%, 74%, 60.9%, 59.9%, 63.2%, 63.5%, 
2006, May, 83.3%, 70.9%, 44.1%, 68.8%, 77.7%, 74%, 62.3%, 69.8%, 79.7%, 81.5%, 
2006, Jun, 90%, 77.1%, 48.3%, 72.1%, 84.8%, 74.5%, 69.7%, 71%, 80%, 80.6%, 
2006, Jul, 88.2%, 77%, 71.3%, 82.8%, 86.7%, 72.5%, 61.3%, 60.6%, 76.3%, 77.2%, 
2006, Aug, 87%, 84%, 63.1%, 84.4%, 81.9%, 77%, 70%, 70.6%, 80.3%, 81.7%, 
2006, Sep, 86.7%, 75.3%, 53.8%, 78.7%, 86.5%, 78.2%, 75.7%, 72.5%, 80.9%, 83.2%, 
2006, Oct, 75.3%, 63.4%, 30.3%, 59%, 76.3%, 73.8%, 71.1%, 73.5%, 73.4%, 74.5%, 
2006, Nov, 65.3%, 51.3%, 24.2%, 45.5%, 75.8%, 78.4%, 75.7%, 75.4%, 66.7%, 68.2%, 
2006, Dec, 54.1%, 46.2%, 60.9%, 50.2%, 54.8%, 58%, 52.3%, 51.9%, 50.4%, 48.3%, 
2007, Jan, 54.1%, 43.7%, 73.6%, 42.9%, 58.6%, 59.9%, 55.9%, 53.1%, 45.7%, 41.3%, 
2007, Feb, 64.9%, 57.8%, 78.6%, 52.5%, 70.6%, 73.9%, 66.2%, 66.9%, 58.4%, 55.8%, 
2007, Mar, 71.4%, 69.3%, 80.8%, 57.3%, 75.6%, 79%, 73.9%, 70.4%, 54.7%, 51.4%, 
2007, Apr, 69.8%, 68.3%, 63%, 48.9%, 69.1%, 76.4%, 69.5%, 65.8%, 63%, 63%, 
2007, May, 83.8%, 73.1%, 42.4%, 67.3%, 76.8%, 77.3%, 79.1%, 74.2%, 75.4%, 77.8%, 
2007, Jun, 89.8%, 75.7%, 51%, 72.7%, 84%, 77.9%, 75.1%, 78.5%, 77.4%, 78%, 
2007, Jul, 87%, 80.7%, 67.2%, 84.5%, 84.4%, 75.8%, 70.5%, 62.8%, 75%, 77.7%, 
2007, Aug, 89.2%, 85.3%, 69.9%, 86.4%, 80.6%, 80.3%, 74.5%, 69%, 78.8%, 79.7%, 
2007, Sep, 88.1%, 78.2%, 58.9%, 79.6%, 83.6%, 79.7%, 81.4%, 70.8%, 79.7%, 80.9%, 
2007, Oct, 76.9%, 64.4%, 36.6%, 61.3%, 80.1%, 79.8%, 73.1%, 73.2%, 73.6%, 74.4%, 
2007, Nov, 66.2%, 50.8%, 31.9%, 52.4%, 73.3%, 81%, 82.5%, 71.9%, 64.2%, 63.1%, 
2007, Dec, 54.9%, 43.5%, 70.5%, 52%, 52.7%, 59.1%, 54%, 55.7%, 66.7%, 66.3%, 
2008, Jan, 56.6%, 43.7%, 77.4%, 46.5%, 58.2%, 61.6%, 56.8%, 58.4%, 46.2%, 41.1%, 
2008, Feb, 69.7%, 58.1%, 82.8%, 52.1%, 66.1%, 77.7%, 73.9%, 70%, 56.6%, 52.4%, 
2008, Mar, 67.5%, 63.6%, 79.7%, 56.3%, 66.2%, 79.6%, 72.2%, 70.9%, 52.8%, 48.3%, 
2008, Apr, 74.9%, 66%, 57.6%, 50.4%, 75.1%, 78.9%, 73%, 70.2%, 64.3%, 64.3%, 
2008, May, 83.9%, 69.6%, 49.4%, 64.8%, 75.2%, 77.3%, 71.6%, 70.2%, 67.9%, 69.5%, 
2008, Jun, 88.6%, 75.2%, 55.9%, 76.2%, 81.4%, 72.3%, 74.8%, 76.5%, 73.2%, 74.2%, 
2008, Jul, 85.3%, 76.9%, 68.5%, 76.8%, 80.2%, 71.5%, 66.1%, 64.3%, 70.1%, 73.1%, 
2008, Aug, 88.5%, 84.8%, 65.4%, 84.7%, 80.5%, 76.3%, 72.9%, 71.3%, 79.3%, 81.4%, 
2008, Sep, 85.2%, 71.8%, 51.6%, 70.9%, 80.7%, 80%, 78.3%, 75%, 76.1%, 78.2%, 
2008, Oct, 72.3%, 60.5%, 37%, 53.5%, 73.4%, 76.8%, 79%, 73.6%, 70.9%, 72.8%, 
2008, Nov, 61.7%, 50.2%, 26.3%, 41.2%, 71.2%, 74.3%, 79.3%, 73.6%, 59.5%, 60%, 
2008, Dec, 47.6%, 40.8%, 61.9%, 43.1%, 52.9%, 55.6%, 55%, 52.8%, 44.7%, 41.5%, 
2009, Jan, 48.8%, 39.2%, 67.8%, 39.8%, 54.7%, 56.8%, 58%, 51.9%, 45.6%, 43.1%, 
2009, Feb, 64.5%, 57.1%, 76%, 52.1%, 63.5%, 71%, 64.2%, 63.5%, 54.7%, 54%, 
2009, Mar, 61.9%, 59.2%, 73.9%, 46.4%, 64.9%, 68.6%, 68.5%, 65.6%, 51.2%, 50%, 
2009, Apr, 65.4%, 60.4%, 61.5%, 43%, 61.3%, 69.6%, 67.9%, 69.2%, 58.1%, 58.1%, 
2009, May, 73.7%, 63.6%, 39.7%, 54.5%, 65.2%, 65%, 65.9%, 68.6%, 61.6%, 62.9%, 
2009, Jun, 77.6%, 66.8%, 54%, 58.2%, 68.4%, 65.9%, 73.4%, 74.1%, 64.4%, 65.7%, 
2009, Jul, 79.9%, 73.1%, 64.4%, 72.3%, 75.6%, 65.4%, 71.2%, 62.7%, 67.2%, 69.9%, 
2009, Aug, 86.8%, 77.7%, 77.5%, 77.7%, 71.6%, 67.5%, 75%, 65.2%, 72.7%, 75.4%, 
2009, Sep, 82.1%, 70.6%, 51.7%, 68%, 77.5%, 67.1%, 74.9%, 67.9%, 68.3%, 71.8%, 
2009, Oct, 66%, 57.1%, 35.1%, 47.5%, 64.1%, 68.7%, 76.7%, 68.9%, 67.4%, 72.8%, 
2009, Nov, 59.1%, 45.9%, 29.8%, 35.9%, 65.3%, 62.2%, 79%, 63.6%, 56.4%, 59.1%, 
2009, Dec, 47.3%, 39.6%, 65.8%, 42.1%, 47.9%, 48.9%, 56.1%, 50.9%, 43%, 41.8%, 
2010, Jan, 50.2%, 37.8%, 63.9%, 35.6%, 51.4%, 50.6%, 53.3%, 53.1%, 44.5%, 42.6%, 
2010, Feb, 86%, 47.9%, 85.1%, 45.1%, 56.8%, 59%, 65.9%, 65.7%, 51%, 49.9%, 
2010, Mar, 62.6%, 59.5%, 71.4%, 46.7%, 62%, 65.9%, 71.5%, 67.8%, 54.7%, 55.1%, 
2010, Apr, 63.3%, 60.5%, 52%, 45.3%, 64%, 64.8%, 69.6%, 63.7%, 58.8%, 61%, 
2010, May, 78.8%, 60.5%, 42.2%, 52.8%, 64.8%, 60.5%, 67.3%, 72%, 69.2%, 73.4%, 
2010, Jun, 83%, 66.8%, 42.5%, 65.5%, 71.5%, 62.4%, 71.4%, 81%, 79.4%, 82.7%, 
2010, Jul, 85.1%, 76.5%, 66.4%, 75%, 74.3%, 62.8%, 68.8%, 72.4%, 69.8%, 73.4%, 
2010, Aug, 88.8%, 78%, 70.4%, 75.5%, 67.6%, 66%, 69.3%, 67.4%, 78.3%, 83.8%, 
2010, Sep, 84.6%, 71.1%, 59.8%, 67.5%, 76.2%, 65.3%, 74.9%, 73.7%, 76.2%, 81.8%, 
2010, Oct, 76.4%, 56.4%, 29.1%, 44.3%, 66.7%, 63%, 74.8%, 71%, 71.3%, 76.6%, 
2010, Nov, 63.3%, 47.1%, 26.3%, 32.8%, 64.7%, 72.4%, 77.6%, 72%, 65.1%, 69%, 
2010, Dec, 48.6%, 41%, 63.1%, 40.8%, 48%, 47.7%, 53.3%, 53.3%, 49.8%, 48.4%, 
2011, Jan, 48.9%, 40.7%, 62.8%, 32.4%, 50.5%, 48.1%, 56.9%, 56.4%, 46.2%, 41.9%, 
2011, Feb, 61.7%, 50.9%, 69.3%, 43.3%, 62.5%, 62.7%, 64.4%, 67.6%, 59.2%, 58%, 
2011, Mar, 67.1%, 56.7%, 62.7%, 42.3%, 67.4%, 66.1%, 71.7%, 68.5%, 59.4%, 58.2%, 
2011, Apr, 68.3%, 56.5%, 54.5%, 44.6%, 63.7%, 66.3%, 79.4%, 65.8%, 61.4%, 62.6%, 
2011, May, 86%, 63.2%, 36.2%, 51.9%, 68%, 65.1%, 79.3%, 76.3%, 74.7%, 79%, 
2011, Jun, 86.2%, 66.9%, 50.9%, 68.4%, 75.2%, 64%, 73.7%, 80.4%, 78.5%, 81.4%, 
2011, Jul, 86.3%, 75.8%, 68.1%, 83%, 78.3%, 62.7%, 73.1%, 73.6%, 78.5%, 81.9%, 
2011, Aug, 87.4%, 77.4%, 71.6%, 80.4%, 69.3%, 63.8%, 72%, 72.3%, 75.8%, 79.1%, 
2011, Sep, 86.6%, 67.4%, 53.7%, 74%, 77.1%, 64.9%, 80%, 74%, 75%, 79.1%, 
2011, Oct, 66.5%, 56.1%, 25.1%, 48.1%, 69.4%, 65.8%, 72.9%, 73.9%, 73%, 77.9%, 
2011, Nov, 65%, 44.9%, 26.8%, 37.3%, 67.3%, 69.4%, 79.9%, 72.5%, 65.5%, 68.2%, 
2011, Dec, 49.4%, 42%, 67.1%, 45.6%, 51.8%, 52.1%, 58.5%, 55.1%, 50%, 48.8%, 
2012, Jan, 52.1%, 37.6%, 75%, 35.8%, 58.2%, 51.8%, 60.8%, 55.3%, 48.9%, 45.5%, 
2012, Feb, 61.5%, 49.6%, 78.2%, 44.6%, 63.8%, 67.2%, 66.2%, 68.7%, 59.7%, 58.5%, 
2012, Mar, 70.2%, 55.1%, 72.3%, 49.1%, 67.8%, 71%, 75.2%, 70.6%, 58.2%, 57.1%, 
2012, Apr, 72%, 55.4%, 55.3%, 46%, 68.6%, 68.9%, 72.8%, 62.7%, 62.1%, 61.7%, 
2012, May, 83.5%, 61.1%, 35.8%, 53.3%, 71.6%, 72.4%, 75.7%, 69.4%, 69.2%, 71%, 
2012, Jun, 78.9%, 66.9%, 46.9%, 69.7%, 78.2%, 68.5%, 79.7%, 75.3%, 78.5%, 80.6%, 
2012, Jul, 84.7%, 73.4%, 62.1%, 81.5%, 83.3%, 65.6%, 74.8%, 67.9%, 68.6%, 71.6%, 
2012, Aug, 85.1%, 81.5%, 71.1%, 85.2%, 76.2%, 69.4%, 70.6%, 63.1%, 77.3%, 79.2%, 
2012, Sep, 84.2%, 69.7%, 48.8%, 75.7%, 82.8%, 69.3%, 79.3%, 69.6%, 72.7%, 75.7%, 
2012, Oct, 71.6%, 55.2%, 27.6%, 48%, 74.8%, 69.9%, 79.5%, 70%, 71.6%, 76%, 
2012, Nov, 60.2%, 43.9%, 28.9%, 36.5%, 71.3%, 73.3%, 79%, 72.4%, 62.1%, 62.9%, 
2012, Dec, 47.7%, 40.4%, 61.3%, 47.1%, 53.4%, 51.2%, 58.8%, 50.1%, 50.1%, 47.3%, 
2013, Jan, 50.76%, 36.13%, 71.57%, 37.01%, 59.66%, 54.79%, 64.15%, 53.98%, 46.6%, 42.9%, 
2013, Feb, 57.3%, 48.5%, 80.3%, 44.5%, 66.6%, 70.3%, 72.7%, 65.9%, 59.6%, 57.7%, 
2013, Mar, 57.7%, 56.4%, 78.5%, 52.8%, 69.8%, 74.3%, 76.7%, 62.8%, 58%, 58%, 
2013, Apr, 65.6%, 59%, 50.3%, 42.3%, 75.7%, 75.9%, 84.7%, 65.1%, 63.7%, 64.8%, 
2013, May, 76.9%, 62.4%, 38.2%, 55.4%, 74.6%, 72.2%, 81.3%, 65.4%, 72.83%, 75.87%, 
2013, Jun, 87.7%, 71.8%, 50.9%, 64.8%, 75.3%, 73.5%, 77.6%, 72.7%, 77.3%, 81.3%, 
2013, Jul, 87.2%, 76.8%, 67.4%, 78.5%, 82.2%, 65%, 76.3%, 59.8%, 71.2%, 73%, 
2013, Aug, 90.3%, 85.7%, 72.4%, 87.1%, 80.4%, 71.6%, 75.4%, 61.4%, 82.7%, 85.9%, 
2013, Sep, 88.5%, 73%, 55.2%, 77.7%, 80.5%, 74.4%, 81.1%, 64.6%, 72.4%, 74.9%, 
2013, Oct, 71%, 59.1%, 27.6%, 51.6%, 77.2%, 74%, 81.3%, 64.1%, 75.4%, 79.6%, 
2013, Nov, 63.8%, 48.6%, 29.8%, 41.2%, 74.9%, 75.6%, 82.3%, 62.2%, 64.5%, 67.1%, 
2013, Dec, 52.6%, 41.8%, 63.5%, 48.4%, 55.5%, 55.8%, 54.1%, 51%, 52.4%, 50.9%, 
2014, Jan, 54%, 37.8%, 73.2%, 38%, 58%, 58.3%, 55.5%, 49.1%, 48.8%, 45%, 
2014, Feb, 60.3%, 48.9%, 80.7%, 45.6%, 63.4%, 68.1%, 64.9%, 57.7%, 61.2%, 60.6%, 
2014, Mar, 64.9%, 55%, 77.3%, 45.1%, 67.6%, 74.2%, 67.3%, 62.6%, 57.7%, 56.4%, 
2014, Apr, 71.5%, 60.7%, 53.6%, 46.1%, 71.6%, 75.4%, 72.3%, 58.8%, 62.8%, 63.8%, 
2014, May, 83.4%, 64.7%, 45.2%, 60.8%, 70.9%, 73.4%, 74.1%, 62.4%, 79.1%, 84.4%, 
2014, Jun, 89.8%, 71.5%, 50.8%, 75.9%, 76.5%, 69.9%, 72.5%, 70.2%, 80.9%, 86%, 
2014, Jul, 85.6%, 80.9%, 71.8%, 88%, 78%, 66%, 73.1%, 65.3%, 78.4%, 83.2%, 
2014, Aug, 92.8%, 88.8%, 78%, 91.7%, 79.2%, 77.2%, 67.4%, 69.2%, 88.4%, 92.1%, 
2014, Sep, 86.1%, 74.9%, 57.7%, 80.6%, 79.5%, 70.6%, 67.7%, 67.3%, 77.5%, 81.2%, 
2014, Oct, 73.6%, 59.4%, 33.4%, 54.5%, 73.7%, 72.4%, 72.8%, 70.5%, 76.7%, 81.7%, 
2014, Nov, 71.4%, 51%, 28.7%, 41.5%, 67%, 74.1%, 68.7%, 65.2%, 65.7%, 69.6%, 
2014, Dec, 54.8%, 47.5%, 65.2%, 49.4%, 52.9%, 55%, 50.9%, 50.1%, 55%, 54.9%, 
2015, Jan, 58.2%, 42.9%, 75.2%, 41%, 55.2%, 54.7%, 52.6%, 50.3%, 50.4%, 47.2%, 
2015, Feb, 63.6%, 56.9%, 81.5%, 53.4%, 62%, 65.8%, 55.6%, 61.3%, 62.4%, 61.7%, 
2015, Mar, 69.1%, 65.6%, 71%, 49.8%, 63.7%, 67.2%, 58.8%, 64.5%, 59.1%, 57.8%, 
2015, Apr, 75%, 63.3%, 49.9%, 48.4%, 64.7%, 68%, 68.1%, 61.2%, 67.3%, 69.8%, 
2015, May, 86.5%, 65.7%, 46.7%, 60.2%, 69.7%, 64.2%, 65.8%, 64.3%, 76.8%, 80.2%, 
2015, Jun, 92%, 76.3%, 64.7%, 77.8%, 70.1%, 69.8%, 66.8%, 75.5%, 85.9%, 89.9%, 
2015, Jul, 93.2%, 84%, 74.6%, 90.6%, 78.1%, 64.9%, 65.5%, 63.8%, 80.9%, 84.8%, 
2015, Aug, 92.3%, 86.5%, 83.9%, 91.9%, 75.9%, 64.1%, 61.3%, 64.1%, 85.8%, 88.6%, 
2015, Sep, 89.2%, 78%, 60%, 82.2%, 70.5%, 64.7%, 73.9%, 66.6%, 82.2%, 85.4%, 
2015, Oct, 78%, 60.4%, 36.5%, 58.8%, 63.3%, 62.8%, 69.2%, 67.8%, 79.5%, 84.7%, 
2015, Nov, 70.1%, 50.1%, 30.7%, 37.9%, 54.7%, 62%, 67.7%, 67.6%, 65.6%, 68.5%, 
2015, Dec, 60.6%, 49%, 67.7%, 49.8%, 44.4%, 47.7%, 47.9%, 51%, 56.4%, 57%, 
2016, Jan, 60.2%, 40.4%, 82.3%, 42.7%, 45.6%, 49.9%, 50.9%, 51.5%, 51.4%, 47.6%, 
2016, Feb, 69.6%, 55.6%, 84.3%, 54.1%, 50.3%, 58.4%, 59.3%, 63.9%, 64.2%, 63.5%, 
2016, Mar, 76.3%, 65.3%, 86.9%, 55.7%, 53.5%, 61.1%, 55.4%, 64%, 60.6%, 61.1%, 
2016, Apr, 80.9%, 67.8%, 52.3%, 47.6%, 56.4%, 60.5%, 67.8%, 64.9%, 69.5%, 71.7%, 
2016, May, 83.1%, 67.9%, 48.4%, 64.3%, 63.3%, 74.5%, 64.6%, 66.8%, 76.8%, 79.3%, 
2016, Jun, 89.4%, 79.6%, 64.4%, 84.3%, 67.7%, 62%, 64.3%, 76.5%, 82.1%, 84.2%, 
2016, Jul, 94.3%, 85.6%, 82.2%, 93.3%, 78%, 59.1%, 59.2%, 66.6%, 85.9%, 89.3%, 
2016, Aug, 91.4%, 86.6%, 80.1%, 93.9%, 70.9%, 60.1%, 56.3%, 66.5%, 87.9%, 90.9%, 
2016, Sep, 93%, 81.2%, 63.7%, 87.8%, 67.4%, 61.1%, 61.9%, 69.4%, 86.9%, 90.4%, 
2016, Oct, 78%, 63.9%, 38%, 57.9%, 55.8%, 60.4%, 61.5%, 74.8%, 81.4%, 85.9%, 
2016, Nov, 72.7%, 56.2%, 36.4%, 41.6%, 53.5%, 60.3%, 64.3%, 71.3%, 71.5%, 74.9%, 
2016, Dec, 63.4%, 51.2%, 76%, 45.2%, 40.7%, 44.9%, 42.9%, 54.2%, 57.7%, 56.3%, 
2017, Jan, 58.2%, 45.1%, 87.4%, 43.4%, 42.5%, 46.8%, 43%, 56%, 57.5%, 54.5%, 
2017, Feb, 69.2%, 59.3%, 87.1%, 53.7%, 50.8%, 56.8%, 48.7%, 66.7%, 66.3%, 64.9%, 
2017, Mar, 72.7%, 64.4%, 86%, 57.2%, 53%, 61.1%, 54.3%, 73.1%, 65.7%, 65.6%, 
2017, Apr, 77.9%, 66.6%, 61.4%, 53.7%, 56%, 59.6%, 56.6%, 67.8%, 72.3%, 72.9%, 
2017, May, 83.7%, 71.3%, 51.5%, 68.4%, 58.9%, 55.3%, 62.2%, 75%, 82.4%, 83%, 
2017, Jun, 90.9%, 77.4%, 68.2%, 84.5%, 67%, 56.3%, 61.9%, 80.7%, 86.1%, 86.4%, 
2017, Jul, 93.5%, 85.2%, 79.1%, 92.9%, 77.7%, 60.6%, 61%, 71.5%, 82.8%, 81.3%, 
2017, Aug, 93.7%, 89.8%, 79%, 93.7%, 73.6%, 63%, 59.7%, 81.2%, 87%, 86%, 
2017, Sep, 91.5%, 81.5%, 68.4%, 91.8%, 71.2%, 61.7%, 59.5%, 78.1%, 84%, 85.3%, 
2017, Oct, 80.6%, 67.1%, 36.1%, 64.9%, 58.4%, 57.4%, 59.1%, 76%, 82.9%, 84.3%, 
2017, Nov, 69.1%, 59.8%, 37.3%, 42%, 56.8%, 60.2%, 61.8%, 70%, 74.6%, 75.8%, 
2017, Dec, 62.4%, 54%, 73.6%, 49.4%, 45.4%, 46.1%, 43.1%, 54.8%, 57%, 53.7%, 
2018, Jan, 62.2%, 50.2%, 85.5%, 45.6%, 46.1%, 47.6%, 44.9%, 54.5%, 55.7%, 49.3%, 
2018, Feb, 69.6%, 61.2%, 88.1%, 52.6%, 53.1%, 55.9%, 48%, 65.8%, 63%, 58.7%, 
2018, Mar, 76.9%, 68.1%, 88.1%, 57.2%, 55.8%, 61.8%, 63.9%, 69%, 61.4%, 58.3%, 
