Year, Month, Canada, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan, Newfoundland, 
2004, Jan, 46.6%, 45.6%, 46.5%, 37.7%, 40.9%, 47.9%, 46.3%, 48.8%, 43.9%, 
2004, Feb, 55.6%, 55.7%, 56.2%, 49.8%, 55.2%, 54.9%, 54.7%, 55.9%, 57.8%, 
2004, Mar, 59%, 61.2%, 63.2%, 58.3%, 62.8%, 55.9%, 57.3%, 64.2%, 56.8%, 
2004, Apr, 58.5%, 60.9%, 57.5%, 55.4%, 61.3%, 57.5%, 56.5%, 57.3%, 51.8%, 
2004, May, 63.5%, 64.9%, 65.5%, 58.8%, 66.5%, 62%, 68.5%, 58%, 61.3%, 
2004, Jun, 68.6%, 69.9%, 71.3%, 62.6%, 73.3%, 67.7%, 70.9%, 62.1%, 80.6%, 
2004, Jul, 72.7%, 77.3%, 67%, 75.1%, 83%, 69.5%, 74.9%, 59.5%, 76.6%, 
2004, Aug, 73.7%, 77.7%, 62%, 76.9%, 86.2%, 71.4%, 78.5%, 59.1%, 77.5%, 
2004, Sep, 72.3%, 72.3%, 61.9%, 68.5%, 85.5%, 73.2%, 76.3%, 60.2%, 74%, 
2004, Oct, 65.1%, 58.7%, 64.1%, 62.1%, 73.1%, 66.9%, 71.1%, 64%, 63.6%, 
2004, Nov, 58%, 49.3%, 62.6%, 56.4%, 60.1%, 60.6%, 59%, 65.3%, 61.2%, 
2004, Dec, 45%, 46.6%, 47.3%, 37.1%, 39.8%, 43.5%, 46.1%, 43.7%, 39%, 
2005, Jan, 46.7%, 45.1%, 48%, 39.7%, 41.9%, 47.2%, 46.2%, 50.8%, 39.3%, 
2005, Feb, 57.6%, 56.9%, 58.8%, 50.2%, 53.1%, 56.5%, 58.4%, 56.8%, 58.5%, 
2005, Mar, 57.8%, 61%, 59.6%, 54.8%, 55.9%, 54.1%, 54.6%, 60.6%, 57%, 
2005, Apr, 61.6%, 63.4%, 61.6%, 55.3%, 61.5%, 60.6%, 61.5%, 64.6%, 59.8%, 
2005, May, 64.2%, 67.7%, 57.9%, 57.4%, 69.1%, 62.7%, 63.8%, 65.8%, 64.7%, 
2005, Jun, 71.9%, 72.6%, 65.5%, 63.2%, 73.9%, 71.4%, 72.9%, 68.7%, 79.4%, 
2005, Jul, 75%, 78.1%, 66.2%, 75.4%, 78%, 71.3%, 78.7%, 65.6%, 80.3%, 
2005, Aug, 75.2%, 80.6%, 62.2%, 74.7%, 82%, 72%, 78.2%, 71%, 71.6%, 
2005, Sep, 74.9%, 76.2%, 62.4%, 66.5%, 82.1%, 75.4%, 76.3%, 66%, 65.6%, 
2005, Oct, 66.5%, 60.7%, 65.7%, 58.3%, 74%, 67.3%, 71.5%, 70%, 64%, 
2005, Nov, 61.1%, 55.4%, 60.5%, 55.8%, 61.9%, 62%, 60.4%, 71.7%, 54.4%, 
2005, Dec, 47.2%, 49.4%, 46.8%, 37.3%, 46%, 45.4%, 49%, 49.5%, 35.6%, 
2006, Jan, 49%, 52.9%, 48.8%, 40.8%, 42.6%, 49.3%, 46%, 56.2%, 38.6%, 
2006, Feb, 59.4%, 60.9%, 60.5%, 51.6%, 52.2%, 58.4%, 58.7%, 63.5%, 47.7%, 
2006, Mar, 61.8%, 69.3%, 62.6%, 57.4%, 61.1%, 57.8%, 56.8%, 70.5%, 49.8%, 
2006, Apr, 60.9%, 66.9%, 58%, 53.2%, 57.4%, 59.4%, 58.1%, 63.5%, 49.5%, 
2006, May, 69.4%, 71.8%, 64.9%, 62.9%, 67.8%, 68.2%, 72.6%, 65.4%, 60.7%, 
2006, Jun, 72.7%, 76.7%, 67.5%, 64.6%, 73.8%, 70%, 74.2%, 71.7%, 74%, 
2006, Jul, 72.8%, 80.4%, 61.7%, 72.1%, 75.4%, 67.6%, 73.5%, 64.9%, 77.5%, 
2006, Aug, 77.3%, 82.3%, 68.5%, 79.3%, 82.2%, 74.4%, 78.6%, 67.5%, 82.7%, 
2006, Sep, 76.2%, 76.2%, 71.5%, 70.1%, 84.4%, 75.8%, 76.2%, 72.3%, 71.3%, 
2006, Oct, 67.6%, 64%, 69.1%, 60.9%, 70.4%, 67.7%, 69.4%, 72.1%, 63.8%, 
2006, Nov, 61.9%, 55%, 70.3%, 60.1%, 61.8%, 62%, 61%, 72.4%, 56.2%, 
2006, Dec, 47.7%, 49.2%, 50.6%, 41.5%, 40.7%, 45.2%, 47.7%, 51.4%, 37.6%, 
2007, Jan, 49.7%, 50.6%, 51.9%, 42.3%, 45%, 48.2%, 44.7%, 58.5%, 40.6%, 
2007, Feb, 59.8%, 60.4%, 63.4%, 55.1%, 55%, 56.6%, 58.6%, 65.8%, 49.7%, 
2007, Mar, 62.8%, 66.4%, 67.9%, 52.2%, 54.2%, 54.4%, 53.5%, 70.7%, 47.5%, 
2007, Apr, 60.1%, 64.4%, 61.6%, 55.9%, 60.3%, 56.6%, 57.3%, 67.3%, 56.3%, 
2007, May, 68.4%, 72.2%, 69.4%, 63.3%, 67.6%, 65%, 68.9%, 77.2%, 67.7%, 
2007, Jun, 73.5%, 75.7%, 74.5%, 68.5%, 74.7%, 71.3%, 72.5%, 77.4%, 75.8%, 
2007, Jul, 73.3%, 79.8%, 64.3%, 76.4%, 79.6%, 68.2%, 73%, 72.6%, 79.9%, 
2007, Aug, 77.2%, 83%, 68.7%, 81.2%, 80.5%, 73.4%, 78.1%, 75.1%, 84%, 
2007, Sep, 75.1%, 76.9%, 68.3%, 71.1%, 82.5%, 73.7%, 74.8%, 75.6%, 79.4%, 
2007, Oct, 68.6%, 65.2%, 70.8%, 62.9%, 72.9%, 67.8%, 69.1%, 74.8%, 73.6%, 
2007, Nov, 62.3%, 55.6%, 68.7%, 54.3%, 60.3%, 62.8%, 58.8%, 76.6%, 65%, 
2007, Dec, 47.9%, 49.3%, 53.5%, 61%, 65.1%, 62.5%, 62.9%, 54.9%, 63.5%, 
2008, Jan, 50.2%, 51.4%, 56.8%, 42.8%, 42.8%, 48.7%, 45.8%, 59.8%, 42.5%, 
2008, Feb, 59.7%, 62.1%, 66.6%, 55.4%, 53.5%, 56.4%, 58%, 69.4%, 51.8%, 
2008, Mar, 59%, 63.5%, 67%, 54.1%, 57.3%, 54.2%, 53.8%, 70.9%, 52%, 
2008, Apr, 62.5%, 64.9%, 67%, 58.5%, 62.6%, 60%, 58.2%, 71.8%, 61.4%, 
2008, May, 67.6%, 71%, 66.8%, 61.1%, 69.1%, 66.1%, 64%, 74.5%, 71.7%, 
2008, Jun, 71.9%, 75.9%, 72.8%, 65.1%, 73.2%, 69.6%, 69.2%, 77.6%, 76.2%, 
2008, Jul, 71%, 77.3%, 67%, 71.4%, 72.4%, 67.3%, 69.7%, 71.6%, 76.9%, 
2008, Aug, 76.7%, 81.2%, 71.4%, 78.1%, 79.8%, 74%, 78.5%, 75.2%, 84%, 
2008, Sep, 72.3%, 71.8%, 73.5%, 63.8%, 75.5%, 70.8%, 71.5%, 78%, 80.5%, 
2008, Oct, 66.7%, 61.2%, 73.5%, 59.3%, 66.1%, 66.2%, 67%, 81.1%, 77.2%, 
2008, Nov, 59.1%, 51.5%, 73.7%, 52.4%, 54.3%, 59%, 55.2%, 79.5%, 61.7%, 
2008, Dec, 45.3%, 44.6%, 51.5%, 37.2%, 38.9%, 43.9%, 44.4%, 56.8%, 42.1%, 
2009, Jan, 47.2%, 46.3%, 51.5%, 37.8%, 38.9%, 46.4%, 45.2%, 62.6%, 44.1%, 
2009, Feb, 55.5%, 57.1%, 61%, 48.1%, 49.8%, 51.9%, 55.6%, 68.1%, 53.9%, 
2009, Mar, 54.9%, 57.7%, 63.3%, 50.1%, 55%, 51.5%, 50.4%, 70.8%, 57.2%, 
2009, Apr, 55.3%, 56.7%, 66.2%, 53.3%, 55.5%, 53.8%, 51.6%, 67.7%, 57.7%, 
2009, May, 59.2%, 61%, 64.6%, 52.4%, 60%, 58.8%, 56.8%, 67.7%, 67.7%, 
2009, Jun, 63.4%, 64.9%, 71.4%, 60%, 66.7%, 62.7%, 60.8%, 73.3%, 79.8%, 
2009, Jul, 66.4%, 70.7%, 66.5%, 72.1%, 75.2%, 62.5%, 67.4%, 74.2%, 78.9%, 
2009, Aug, 70.6%, 76.3%, 70%, 75.4%, 77.5%, 67.7%, 73.1%, 74.6%, 82.6%, 
2009, Sep, 67.8%, 68.2%, 70.4%, 63.5%, 73.3%, 68.4%, 65.9%, 72.2%, 81%, 
2009, Oct, 60.9%, 56.3%, 69.4%, 58%, 63.6%, 62%, 62.6%, 75.4%, 68.4%, 
2009, Nov, 54.2%, 48.2%, 62.7%, 51.6%, 51.9%, 55.7%, 51.2%, 73.3%, 61.1%, 
2009, Dec, 43.1%, 42.4%, 48.8%, 36.5%, 37.1%, 42.9%, 42.8%, 56.5%, 42.9%, 
2010, Jan, 45.6%, 46.1%, 51.6%, 37.9%, 38.2%, 44.8%, 45.2%, 59.3%, 47.3%, 
2010, Feb, 56.2%, 67.6%, 62.8%, 48.4%, 48.9%, 52.2%, 53.9%, 67.6%, 55%, 
2010, Mar, 56.3%, 57.2%, 64.8%, 51.8%, 59.7%, 54.3%, 53.1%, 72.1%, 58.1%, 
2010, Apr, 56.5%, 55.5%, 61.7%, 50.1%, 56.3%, 57.2%, 53.6%, 68.8%, 66.2%, 
2010, May, 61%, 61.6%, 68.4%, 55.7%, 61.2%, 61.8%, 62.2%, 68.4%, 69.9%, 
2010, Jun, 68.4%, 65.4%, 78.2%, 58.4%, 70.9%, 70.5%, 71.6%, 72.2%, 81.5%, 
2010, Jul, 70.4%, 74%, 71.2%, 74.4%, 75.2%, 69.3%, 70.1%, 73.8%, 87.7%, 
2010, Aug, 72%, 76.1%, 66.1%, 74.2%, 78.1%, 71%, 76.9%, 72%, 83.3%, 
2010, Sep, 70%, 69.4%, 70.7%, 65%, 79.2%, 70.9%, 71.7%, 74.2%, 77.3%, 
2010, Oct, 63.3%, 58.5%, 68.1%, 58.9%, 64.6%, 65.9%, 65.7%, 75%, 72.3%, 
2010, Nov, 57.9%, 48.8%, 67.3%, 55.5%, 53%, 60.1%, 57.5%, 76%, 67.3%, 
2010, Dec, 44.7%, 42.7%, 50.9%, 36%, 36.7%, 44.9%, 48%, 51.7%, 44.3%, 
2011, Jan, 46.4%, 43.2%, 52.9%, 38.8%, 39.1%, 47.4%, 46.5%, 57.8%, 43.5%, 
2011, Feb, 56.1%, 52.2%, 62.3%, 48%, 56.7%, 55.6%, 59.2%, 62.9%, 55.2%, 
2011, Mar, 57.6%, 55.7%, 65.2%, 51.5%, 56.5%, 56.5%, 55.8%, 70%, 59.1%, 
2011, Apr, 56.9%, 56.4%, 61.3%, 48.6%, 55.2%, 57.2%, 54.2%, 68.5%, 59.1%, 
2011, May, 63.3%, 66.1%, 72.3%, 54.8%, 59.2%, 62%, 66.2%, 69.7%, 71.1%, 
2011, Jun, 68.4%, 69.4%, 74%, 60.1%, 67.3%, 68%, 70.9%, 71.4%, 82.3%, 
2011, Jul, 72%, 76.6%, 70.9%, 72.1%, 74.2%, 68.7%, 75.9%, 73.1%, 89%, 
2011, Aug, 72%, 77.4%, 69.9%, 74%, 77.4%, 69.1%, 75.3%, 71.3%, 89.6%, 
2011, Sep, 71.9%, 70.3%, 71.1%, 62.2%, 74.5%, 73.9%, 71.9%, 73.5%, 83.3%, 
2011, Oct, 64.1%, 55.6%, 69.4%, 57.1%, 63.8%, 67%, 67.1%, 73.5%, 73.1%, 
2011, Nov, 59.6%, 50.5%, 69.2%, 53.1%, 57.2%, 61.5%, 58.5%, 75.4%, 70.4%, 
2011, Dec, 46.3%, 43.9%, 52.2%, 36%, 38.1%, 45.5%, 48.1%, 54.5%, 46.5%, 
2012, Jan, 48.5%, 45.7%, 54.1%, 40.8%, 41.1%, 48.1%, 47.9%, 58.6%, 47.3%, 
2012, Feb, 56.9%, 53%, 64.1%, 47.8%, 51.3%, 55.5%, 60%, 65%, 57.2%, 
2012, Mar, 59.1%, 58%, 66.5%, 52.1%, 59.6%, 56.9%, 55.6%, 70.3%, 63.8%, 
2012, Apr, 57.3%, 57.4%, 58.6%, 48.4%, 54.6%, 56.4%, 54.8%, 67.5%, 63.4%, 
2012, May, 64.3%, 63.8%, 63.9%, 57%, 63.7%, 64.5%, 64.4%, 68.9%, 76%, 
2012, Jun, 69.1%, 65.7%, 69.5%, 58.4%, 66.3%, 69.8%, 72.7%, 74.6%, 78.1%, 
2012, Jul, 71%, 73.5%, 67.3%, 68.9%, 74.6%, 69.4%, 69.3%, 70.4%, 83.7%, 
2012, Aug, 74.7%, 78.5%, 65.6%, 76.1%, 81.1%, 73.1%, 77.1%, 69.7%, 85.1%, 
2012, Sep, 71.3%, 69.1%, 69.6%, 62.9%, 73.9%, 72.3%, 70.2%, 73.4%, 80.3%, 
2012, Oct, 64.5%, 57%, 67.4%, 58.9%, 65.5%, 66%, 67%, 73.8%, 72.7%, 
2012, Nov, 59%, 48.5%, 68.2%, 50.8%, 56.3%, 61.1%, 56.5%, 72.7%, 69.9%, 
2012, Dec, 46.1%, 43.3%, 48.1%, 35.1%, 37.3%, 45.4%, 48.7%, 51.6%, 49.3%, 
2013, Jan, 48.5%, 44.66%, 52.96%, 38.3%, 39.1%, 48.7%, 46.2%, 57.93%, 52.4%, 
2013, Feb, 57.2%, 52.2%, 62.7%, 45.8%, 49.2%, 55.9%, 59.3%, 66.7%, 62.3%, 
2013, Mar, 58.2%, 55.6%, 61%, 48.8%, 56%, 55.5%, 57.1%, 68%, 62.1%, 
2013, Apr, 59.6%, 56.4%, 61.3%, 54%, 55.7%, 59.7%, 56.2%, 68.1%, 69.1%, 
2013, May, 64.2%, 63.4%, 61.2%, 53.19%, 59.42%, 64.35%, 65.87%, 69.6%, 71.55%, 
2013, Jun, 69.7%, 71.4%, 69.6%, 60.5%, 64.8%, 70.1%, 70.5%, 71.7%, 79.5%, 
2013, Jul, 71.8%, 76.3%, 60.8%, 71.6%, 73.1%, 69.6%, 70.4%, 69%, 85.7%, 
2013, Aug, 77.1%, 83.2%, 63.5%, 78.5%, 78.5%, 74.5%, 80.5%, 71.1%, 89.7%, 
2013, Sep, 71.5%, 73%, 63.3%, 63.9%, 69.9%, 71.1%, 68.1%, 71.4%, 82.7%, 
2013, Oct, 65.9%, 58.6%, 63%, 57.8%, 65%, 67.5%, 67.8%, 73.2%, 75.3%, 
2013, Nov, 60.1%, 50.6%, 60.4%, 54.3%, 56.2%, 61.4%, 57.9%, 72.1%, 71.4%, 
2013, Dec, 48.2%, 45.7%, 48.5%, 35.3%, 38.7%, 48.4%, 49.2%, 50.1%, 45.5%, 
2014, Jan, 50.1%, 48%, 49.2%, 39%, 41.8%, 50.3%, 48%, 54.7%, 44.6%, 
2014, Feb, 57.7%, 55.4%, 57.9%, 46.7%, 50.6%, 56.5%, 60.3%, 61.6%, 52.9%, 
2014, Mar, 59.2%, 58.2%, 61%, 51.3%, 54.2%, 57.7%, 56.7%, 63.1%, 56%, 
2014, Apr, 60.7%, 60%, 57.9%, 50.3%, 56.7%, 61.3%, 56.9%, 63.8%, 60.5%, 
2014, May, 66.8%, 67.7%, 60.1%, 54.2%, 62.8%, 67%, 70.1%, 65.3%, 63.6%, 
2014, Jun, 71.2%, 72.8%, 67.2%, 60%, 66.5%, 71.3%, 73.9%, 66.7%, 79.2%, 
2014, Jul, 73.4%, 78.4%, 67.5%, 74%, 72.6%, 71.1%, 75.2%, 69%, 82.9%, 
2014, Aug, 80.2%, 86.2%, 70.1%, 79.7%, 81%, 78.7%, 85.7%, 67.2%, 88.7%, 
2014, Sep, 73.5%, 73.8%, 70.3%, 61.1%, 72.8%, 74.6%, 73.4%, 67.2%, 78.9%, 
2014, Oct, 67.7%, 61.7%, 71.1%, 55.4%, 66.3%, 69.5%, 70.4%, 71.8%, 74.5%, 
2014, Nov, 60.6%, 54.6%, 65.2%, 49.4%, 56.5%, 61.5%, 59.5%, 67.8%, 67.9%, 
2014, Dec, 48.6%, 48.4%, 49.8%, 34%, 36.6%, 48.2%, 52.2%, 49.1%, 44.6%, 
2015, Jan, 49.8%, 50.9%, 51.6%, 35.3%, 38.3%, 50.1%, 49.3%, 51.4%, 47.6%, 
2015, Feb, 57.8%, 59%, 61.2%, 42.6%, 48.6%, 56.6%, 62.3%, 56.8%, 54.5%, 
2015, Mar, 58.6%, 61%, 63.5%, 45.4%, 57.2%, 58.6%, 57.4%, 56.2%, 56.2%, 
2015, Apr, 59.6%, 60.8%, 60.3%, 47.2%, 57.7%, 61%, 59.7%, 59.6%, 63.6%, 
2015, May, 65.2%, 69%, 63.2%, 54.7%, 60.1%, 67.2%, 68.5%, 59.6%, 62.5%, 
2015, Jun, 72.7%, 77.7%, 72.9%, 64.7%, 66.8%, 73.7%, 77.6%, 65%, 75.4%, 
2015, Jul, 75.1%, 83.6%, 65.8%, 75.5%, 76.6%, 73.9%, 78.7%, 67.7%, 80.9%, 
2015, Aug, 77.3%, 84.8%, 67.6%, 78.8%, 83.5%, 78.1%, 84%, 61.4%, 84.6%, 
2015, Sep, 74.4%, 77.3%, 67.4%, 66.3%, 80.7%, 78.7%, 77.5%, 65.1%, 76.8%, 
2015, Oct, 65.9%, 63.4%, 66.9%, 56.5%, 66.6%, 70.8%, 71.6%, 63.9%, 68.2%, 
2015, Nov, 57.6%, 53.5%, 64.6%, 51%, 57.9%, 62.7%, 58.9%, 58.5%, 60.6%, 
2015, Dec, 47.6%, 50.4%, 50%, 36%, 41.3%, 49.6%, 53.1%, 43.1%, 41.8%, 
2016, Jan, 48.3%, 50.8%, 51.8%, 35.7%, 42.3%, 51.5%, 49.7%, 45.9%, 38.7%, 
2016, Feb, 56.9%, 60.6%, 61.8%, 43.2%, 49.1%, 59.5%, 63.7%, 51.6%, 47.2%, 
2016, Mar, 57.9%, 66%, 62.6%, 46.7%, 56.5%, 58.9%, 59.3%, 51.4%, 53.3%, 
2016, Apr, 60.8%, 65.9%, 62.5%, 55.3%, 64%, 65.1%, 61.2%, 57.1%, 57.3%, 
2016, May, 65.6%, 69.6%, 63.3%, 58%, 62%, 69.4%, 69%, 56.2%, 62%, 
2016, Jun, 71.2%, 77.6%, 71.1%, 66.4%, 73.6%, 73.6%, 75.4%, 59%, 79.9%, 
2016, Jul, 77.5%, 85.7%, 65.7%, 80.2%, 82.5%, 81.1%, 82.5%, 58.3%, 80.6%, 
2016, Aug, 77%, 84.8%, 65.9%, 84%, 87.3%, 79.6%, 85.7%, 56.2%, 80.5%, 
2016, Sep, 75%, 80.4%, 66.3%, 70.9%, 84.1%, 80.6%, 80.3%, 57.1%, 76.9%, 
2016, Oct, 66%, 65.2%, 70.8%, 61%, 65.5%, 73.1%, 73.7%, 55.7%, 63.4%, 
2016, Nov, 60%, 57.6%, 66.6%, 54.7%, 60%, 66.6%, 62.2%, 56%, 60.7%, 
2016, Dec, 48.4%, 53.5%, 51.8%, 37.8%, 41.7%, 51.5%, 54.4%, 40.1%, 39.4%, 
2017, Jan, 49.5%, 53.3%, 54.6%, 41.9%, 40.3%, 52.5%, 54.4%, 42.5%, 40.3%, 
2017, Feb, 57.6%, 62.8%, 64.1%, 46.8%, 51%, 59.3%, 65.7%, 48.7%, 48.6%, 
2017, Mar, 60.5%, 66.4%, 70.2%, 52.2%, 63.7%, 61.9%, 62.1%, 52.9%, 62.1%, 
2017, Apr, 61.6%, 67.3%, 64.2%, 52.7%, 61.9%, 66.3%, 62.6%, 51.1%, 57.5%, 
2017, May, 67.2%, 72.8%, 70.3%, 60.6%, 70.1%, 71.5%, 73%, 54.9%, 66.7%, 
2017, Jun, 73.2%, 79.8%, 77.8%, 68.9%, 76.1%, 76.2%, 77.9%, 59.3%, 74.7%, 
2017, Jul, 77.7%, 86%, 70.3%, 84.3%, 87.8%, 79.4%, 82.1%, 59.4%, 80.9%, 
2017, Aug, 79.8%, 87.9%, 79.6%, 88.7%, 91.7%, 81.7%, 86.5%, 58.9%, 82.4%, 
2017, Sep, 76.9%, 81.8%, 77.1%, 74%, 83.9%, 81.7%, 79.8%, 61.8%, 78.9%, 
2017, Oct, 69%, 68.5%, 72.9%, 62.3%, 71.6%, 76%, 76.6%, 60.4%, 63%, 
2017, Nov, 62.4%, 59.3%, 67.5%, 55.9%, 63%, 69.3%, 66%, 57.7%, 56.5%, 
2017, Dec, 50%, 54.3%, 53.3%, 39.2%, 43.4%, 53.2%, 55.3%, 41.5%, 36.2%, 
2018, Jan, 51.5%, 55.7%, 55%, 41.8%, 42.1%, 55.4%, 53.3%, 46%, 35.1%, 
2018, Feb, 58.5%, 63.5%, 64.9%, 48.1%, 48.7%, 61%, 63.6%, 50.7%, 41.2%, 
2018, Mar, 61.6%, 68.4%, 66.9%, 51.1%, 64.1%, 64%, 61.6%, 56.3%, 42.5%, 
2018, Apr, 62.7%, 66.7%, 65.4%, 53.7%, 64%, 67.6%, 60.1%, 58.8%, 46.1%, 
2018, May, 68.1%, 73.5%, 70.2%, 63%, 67.4%, 72.2%, 69.8%, 59.3%, 49.3%, 
2018, Jun, 74.6%, 79.8%, 75.1%, 68%, 76.2%, 78.5%, 79.1%, 60.3%, 66.7%, 
2018, Jul, 75.8%, 83.8%, 70.8%, 78.6%, 80.3%, 78.8%, 80.9%, 62.9%, 70.6%, 
2018, Aug, 80%, 86.6%, 79.1%, 86.8%, 91%, 83%, 85.3%, 60.9%, 69.4%, 
2018, Sep, 76.4%, 80.9%, 76.7%, 72.9%, 83.9%, 81.5%, 79%, 61%, 72.6%, 
2018, Oct, 70.2%, 71.2%, 75.8%, 65.9%, 72.5%, 76.1%, 76.1%, 63.7%, 55%, 
2018, Nov, 63%, 62.4%, 73.1%, 58%, 60.9%, 68.7%, 62.7%, 61.5%, 51.4%, 
2018, Dec, 50.1%, 55.6%, 54.3%, 37.1%, 42.2%, 52.4%, 55.9%, 43.1%, 34.8%, 
2019, Jan, 50.8%, 56.8%, 54.6%, 39.8%, 41.7%, 53.5%, 50.6%, 46.9%, 33.4%, 
2019, Feb, 58.9%, 64.6%, 66.8%, 46.8%, 52.3%, 61.2%, 62.8%, 50.7%, 38.7%, 
2019, Mar, 60.3%, 67.6%, 68.7%, 51%, 61.3%, 61.9%, 59.2%, 53.5%, 46.1%, 
2019, Apr, 62.5%, 69.1%, 63%, 52.4%, 59.7%, 67%, 62.9%, 56.6%, 49.2%, 
2019, May, 67.6%, 74%, 68.6%, 61.5%, 70.5%, 71.1%, 72.5%, 58.5%, 55.8%, 
2019, Jun, 73.8%, 80.8%, 72.6%, 68.2%, 75.8%, 77.7%, 78.2%, 57.6%, 72.3%, 
2019, Jul, 75.8%, 83.7%, 70.6%, 81.5%, 82.2%, 77.6%, 78.3%, 62.8%, 70.4%, 
2019, Aug, 78.6%, 86%, 76%, 87.6%, 89.6%, 81.5%, 84.5%, 60.9%, 76.8%, 
2019, Sep, 73.7%, 80.1%, 72.2%, 69.4%, 84.1%, 78.2%, 78.6%, 56.5%, 71.7%, 
2019, Oct, 67.8%, 68.6%, 77.1%, 61%, 72.6%, 74.1%, 74.9%, 60.5%, 58.2%, 
2019, Nov, 61.5%, 61.5%, 67.1%, 55.6%, 61.9%, 66.8%, 64.3%, 58.7%, 56%, 
