"GEO","Date","Value"
"Newfoundland and Labrador",2009-04-01,1
"Newfoundland and Labrador",2009-05-01,8
"Newfoundland and Labrador",2009-06-01,6
"Newfoundland and Labrador",2009-07-01,0
"Newfoundland and Labrador",2009-08-01,1
"Newfoundland and Labrador",2009-09-01,2
"Newfoundland and Labrador",2009-10-01,7
"Newfoundland and Labrador",2009-11-01,1
"Newfoundland and Labrador",2009-12-01,2
"Newfoundland and Labrador",2010-01-01,0
"Newfoundland and Labrador",2010-02-01,4
"Newfoundland and Labrador",2010-03-01,1
"Newfoundland and Labrador",2010-04-01,2
"Newfoundland and Labrador",2010-05-01,2
"Newfoundland and Labrador",2010-06-01,3
"Newfoundland and Labrador",2010-07-01,0
"Newfoundland and Labrador",2010-08-01,3
"Newfoundland and Labrador",2010-09-01,0
"Newfoundland and Labrador",2010-10-01,1
"Newfoundland and Labrador",2010-11-01,2
"Newfoundland and Labrador",2010-12-01,5
"Newfoundland and Labrador",2011-01-01,1
"Newfoundland and Labrador",2011-02-01,3
"Newfoundland and Labrador",2011-03-01,6
"Newfoundland and Labrador",2011-04-01,4
"Newfoundland and Labrador",2011-05-01,0
"Newfoundland and Labrador",2011-06-01,3
"Newfoundland and Labrador",2011-07-01,1
"Newfoundland and Labrador",2011-08-01,1
"Newfoundland and Labrador",2011-09-01,3
"Newfoundland and Labrador",2011-10-01,4
"Newfoundland and Labrador",2011-11-01,0
"Newfoundland and Labrador",2011-12-01,0
"Newfoundland and Labrador",2012-01-01,2
"Newfoundland and Labrador",2012-02-01,1
"Newfoundland and Labrador",2012-03-01,4
"Newfoundland and Labrador",2012-04-01,1
"Newfoundland and Labrador",2012-05-01,0
"Newfoundland and Labrador",2012-06-01,0
"Newfoundland and Labrador",2012-07-01,2
"Newfoundland and Labrador",2012-08-01,1
"Newfoundland and Labrador",2012-09-01,5
"Newfoundland and Labrador",2012-10-01,2
"Newfoundland and Labrador",2012-11-01,1
"Newfoundland and Labrador",2012-12-01,0
"Newfoundland and Labrador",2013-01-01,5
"Newfoundland and Labrador",2013-02-01,1
"Newfoundland and Labrador",2013-03-01,0
"Newfoundland and Labrador",2013-04-01,2
"Newfoundland and Labrador",2013-05-01,5
"Newfoundland and Labrador",2013-06-01,1
"Newfoundland and Labrador",2013-07-01,2
"Newfoundland and Labrador",2013-08-01,10
"Newfoundland and Labrador",2013-09-01,0
"Newfoundland and Labrador",2013-10-01,2
"Newfoundland and Labrador",2013-11-01,1
"Newfoundland and Labrador",2013-12-01,3
"Newfoundland and Labrador",2014-01-01,4
"Newfoundland and Labrador",2014-02-01,1
"Newfoundland and Labrador",2014-03-01,4
"Newfoundland and Labrador",2014-04-01,1
"Newfoundland and Labrador",2014-05-01,3
"Newfoundland and Labrador",2014-06-01,2
"Newfoundland and Labrador",2014-07-01,0
"Newfoundland and Labrador",2014-08-01,2
"Newfoundland and Labrador",2014-09-01,1
"Newfoundland and Labrador",2014-10-01,8
"Newfoundland and Labrador",2014-11-01,2
"Newfoundland and Labrador",2014-12-01,2
"Newfoundland and Labrador",2015-01-01,1
"Newfoundland and Labrador",2015-02-01,3
"Newfoundland and Labrador",2015-03-01,2
"Newfoundland and Labrador",2015-04-01,2
"Newfoundland and Labrador",2015-05-01,1
"Newfoundland and Labrador",2015-06-01,3
"Newfoundland and Labrador",2015-07-01,0
"Newfoundland and Labrador",2015-08-01,3
"Newfoundland and Labrador",2015-09-01,5
"Newfoundland and Labrador",2015-10-01,1
"Newfoundland and Labrador",2015-11-01,5
"Newfoundland and Labrador",2015-12-01,1
"Newfoundland and Labrador",2016-01-01,1
"Newfoundland and Labrador",2016-02-01,2
"Newfoundland and Labrador",2016-03-01,2
"Newfoundland and Labrador",2016-04-01,2
"Newfoundland and Labrador",2016-05-01,4
"Newfoundland and Labrador",2016-06-01,1
"Newfoundland and Labrador",2016-07-01,1
"Newfoundland and Labrador",2016-08-01,2
"Newfoundland and Labrador",2016-09-01,3
"Newfoundland and Labrador",2016-10-01,1
"Newfoundland and Labrador",2016-11-01,7
"Newfoundland and Labrador",2016-12-01,2
"Newfoundland and Labrador",2017-01-01,1
"Newfoundland and Labrador",2017-02-01,2
"Newfoundland and Labrador",2017-03-01,7
"Newfoundland and Labrador",2017-04-01,4
"Newfoundland and Labrador",2017-05-01,2
"Newfoundland and Labrador",2017-06-01,3
"Newfoundland and Labrador",2017-07-01,5
"Newfoundland and Labrador",2017-08-01,0
"Newfoundland and Labrador",2017-09-01,2
"Newfoundland and Labrador",2017-10-01,3
"Newfoundland and Labrador",2017-11-01,7
"Newfoundland and Labrador",2017-12-01,0
"Newfoundland and Labrador",2018-01-01,1
"Newfoundland and Labrador",2018-02-01,1
"Newfoundland and Labrador",2018-03-01,2
"Newfoundland and Labrador",2018-04-01,1
"Newfoundland and Labrador",2018-05-01,1
"Newfoundland and Labrador",2018-06-01,1
"Newfoundland and Labrador",2018-07-01,1
"Newfoundland and Labrador",2018-08-01,1
"Newfoundland and Labrador",2018-09-01,5
"Newfoundland and Labrador",2018-10-01,2
"Newfoundland and Labrador",2018-11-01,5
"Newfoundland and Labrador",2018-12-01,3
"Newfoundland and Labrador",2019-01-01,2
"Newfoundland and Labrador",2019-02-01,5
"Newfoundland and Labrador",2019-03-01,3
"Newfoundland and Labrador",2019-04-01,3
"Newfoundland and Labrador",2019-05-01,4
"Newfoundland and Labrador",2019-06-01,4
"Newfoundland and Labrador",2019-07-01,3
"Newfoundland and Labrador",2019-08-01,7
"Newfoundland and Labrador",2019-09-01,0
"Newfoundland and Labrador",2019-10-01,2
"Newfoundland and Labrador",2019-11-01,5
"Newfoundland and Labrador",2019-12-01,3
"Newfoundland and Labrador",2020-01-01,0
"Newfoundland and Labrador",2020-02-01,2
"Newfoundland and Labrador",2020-03-01,0
"Newfoundland and Labrador",2020-04-01,0
"Newfoundland and Labrador",2020-05-01,0
"Newfoundland and Labrador",2020-06-01,1
"Newfoundland and Labrador",2020-07-01,2
"Newfoundland and Labrador",2020-08-01,1
"Newfoundland and Labrador",2020-09-01,2
"Newfoundland and Labrador",2020-10-01,0
"Newfoundland and Labrador",2020-11-01,2
"Newfoundland and Labrador",2020-12-01,0
"Newfoundland and Labrador",2021-01-01,1
"Newfoundland and Labrador",2021-02-01,0
"Newfoundland and Labrador",2021-03-01,1
"Newfoundland and Labrador",2021-04-01,0
"Newfoundland and Labrador",2021-05-01,3
"Newfoundland and Labrador",2021-06-01,1
"Newfoundland and Labrador",2021-07-01,2
"Newfoundland and Labrador",2021-08-01,0
"Newfoundland and Labrador",2021-09-01,1
"Newfoundland and Labrador",2021-10-01,2
"Newfoundland and Labrador",2021-11-01,0
"Newfoundland and Labrador",2021-12-01,1
"Newfoundland and Labrador",2022-01-01,0
"Newfoundland and Labrador",2022-02-01,1
"Newfoundland and Labrador",2022-03-01,0
"Newfoundland and Labrador",2022-04-01,0
"Newfoundland and Labrador",2022-05-01,3
"Newfoundland and Labrador",2022-06-01,3
"Newfoundland and Labrador",2022-07-01,0
"Newfoundland and Labrador",2022-08-01,2
"Newfoundland and Labrador",2022-09-01,2
"Newfoundland and Labrador",2022-10-01,0
"Newfoundland and Labrador",2022-11-01,1
"Newfoundland and Labrador",2022-12-01,0
"Newfoundland and Labrador",2023-01-01,0
"Newfoundland and Labrador",2023-02-01,2
"Newfoundland and Labrador",2023-03-01,1
"Newfoundland and Labrador",2023-04-01,0
"Newfoundland and Labrador",2023-05-01,2
"Newfoundland and Labrador",2023-06-01,3
"Newfoundland and Labrador",2023-07-01,6
"Newfoundland and Labrador",2023-08-01,3
"Newfoundland and Labrador",2023-09-01,5
"Newfoundland and Labrador",2023-10-01,1
"Newfoundland and Labrador",2023-11-01,5
"Newfoundland and Labrador",2023-12-01,1
"Newfoundland and Labrador",2024-01-01,2
"Newfoundland and Labrador",2024-02-01,0
"Newfoundland and Labrador",2024-03-01,1
"Newfoundland and Labrador",2024-04-01,3
"Newfoundland and Labrador",2024-05-01,3
"Newfoundland and Labrador",2024-06-01,2
"Newfoundland and Labrador",2024-07-01,1
"Newfoundland and Labrador",2024-08-01,3
"Newfoundland and Labrador",2024-09-01,3
"Newfoundland and Labrador",2024-10-01,3
"Newfoundland and Labrador",2024-11-01,3
"Newfoundland and Labrador",2024-12-01,1
"Newfoundland and Labrador",2025-01-01,3
"Newfoundland and Labrador",2025-02-01,0
"Newfoundland and Labrador",2025-03-01,3
"Newfoundland and Labrador",2025-04-01,2
"Newfoundland and Labrador",2025-05-01,3
"Prince Edward Island",2000-01-01,3
"Prince Edward Island",2000-02-01,4
"Prince Edward Island",2000-03-01,5
"Prince Edward Island",2000-04-01,1
"Prince Edward Island",2000-05-01,3
"Prince Edward Island",2000-06-01,3
"Prince Edward Island",2000-07-01,0
"Prince Edward Island",2000-08-01,3
"Prince Edward Island",2000-09-01,1
"Prince Edward Island",2000-10-01,1
"Prince Edward Island",2000-11-01,1
"Prince Edward Island",2000-12-01,3
"Prince Edward Island",2001-01-01,2
"Prince Edward Island",2001-02-01,3
"Prince Edward Island",2001-03-01,1
"Prince Edward Island",2001-04-01,3
"Prince Edward Island",2001-05-01,2
"Prince Edward Island",2001-06-01,4
"Prince Edward Island",2001-07-01,2
"Prince Edward Island",2001-08-01,2
"Prince Edward Island",2001-09-01,4
"Prince Edward Island",2001-10-01,2
"Prince Edward Island",2001-11-01,8
"Prince Edward Island",2001-12-01,0
"Prince Edward Island",2002-01-01,3
"Prince Edward Island",2002-02-01,3
"Prince Edward Island",2002-03-01,6
"Prince Edward Island",2002-04-01,4
"Prince Edward Island",2002-05-01,1
"Prince Edward Island",2002-06-01,6
"Prince Edward Island",2002-07-01,0
"Prince Edward Island",2002-08-01,5
"Prince Edward Island",2002-09-01,2
"Prince Edward Island",2002-10-01,4
"Prince Edward Island",2002-11-01,2
"Prince Edward Island",2002-12-01,2
"Prince Edward Island",2003-01-01,4
"Prince Edward Island",2003-02-01,2
"Prince Edward Island",2003-03-01,1
"Prince Edward Island",2003-04-01,3
"Prince Edward Island",2003-05-01,3
"Prince Edward Island",2003-06-01,4
"Prince Edward Island",2003-07-01,2
"Prince Edward Island",2003-08-01,3
"Prince Edward Island",2003-09-01,5
"Prince Edward Island",2003-10-01,5
"Prince Edward Island",2003-11-01,3
"Prince Edward Island",2003-12-01,1
"Prince Edward Island",2004-01-01,5
"Prince Edward Island",2004-02-01,2
"Prince Edward Island",2004-03-01,2
"Prince Edward Island",2004-04-01,3
"Prince Edward Island",2004-05-01,2
"Prince Edward Island",2004-06-01,3
"Prince Edward Island",2004-07-01,5
"Prince Edward Island",2004-08-01,1
"Prince Edward Island",2004-09-01,4
"Prince Edward Island",2004-10-01,2
"Prince Edward Island",2004-11-01,6
"Prince Edward Island",2004-12-01,5
"Prince Edward Island",2005-01-01,3
"Prince Edward Island",2005-02-01,5
"Prince Edward Island",2005-03-01,3
"Prince Edward Island",2005-04-01,3
"Prince Edward Island",2005-05-01,3
"Prince Edward Island",2005-06-01,1
"Prince Edward Island",2005-07-01,5
"Prince Edward Island",2005-08-01,2
"Prince Edward Island",2005-09-01,4
"Prince Edward Island",2005-10-01,1
"Prince Edward Island",2005-11-01,6
"Prince Edward Island",2005-12-01,6
"Prince Edward Island",2006-01-01,6
"Prince Edward Island",2006-02-01,2
"Prince Edward Island",2006-03-01,5
"Prince Edward Island",2006-04-01,2
"Prince Edward Island",2006-05-01,4
"Prince Edward Island",2006-06-01,3
"Prince Edward Island",2006-07-01,3
"Prince Edward Island",2006-08-01,6
"Prince Edward Island",2006-09-01,4
"Prince Edward Island",2006-10-01,1
"Prince Edward Island",2006-11-01,2
"Prince Edward Island",2006-12-01,5
"Prince Edward Island",2007-01-01,5
"Prince Edward Island",2007-02-01,2
"Prince Edward Island",2007-03-01,4
"Prince Edward Island",2007-04-01,6
"Prince Edward Island",2007-05-01,1
"Prince Edward Island",2007-06-01,5
"Prince Edward Island",2007-07-01,0
"Prince Edward Island",2007-08-01,4
"Prince Edward Island",2007-09-01,4
"Prince Edward Island",2007-10-01,5
"Prince Edward Island",2007-11-01,1
"Prince Edward Island",2007-12-01,0
"Prince Edward Island",2008-01-01,1
"Prince Edward Island",2008-02-01,4
"Prince Edward Island",2008-03-01,0
"Prince Edward Island",2008-04-01,1
"Prince Edward Island",2008-05-01,1
"Prince Edward Island",2008-06-01,2
"Prince Edward Island",2008-07-01,2
"Prince Edward Island",2008-08-01,2
"Prince Edward Island",2008-09-01,2
"Prince Edward Island",2008-10-01,0
"Prince Edward Island",2008-11-01,3
"Prince Edward Island",2008-12-01,2
"Prince Edward Island",2009-01-01,1
"Prince Edward Island",2009-02-01,2
"Prince Edward Island",2009-03-01,1
"Prince Edward Island",2009-04-01,4
"Prince Edward Island",2009-05-01,0
"Prince Edward Island",2009-06-01,7
"Prince Edward Island",2009-07-01,3
"Prince Edward Island",2009-08-01,3
"Prince Edward Island",2009-09-01,5
"Prince Edward Island",2009-10-01,1
"Prince Edward Island",2009-11-01,3
"Prince Edward Island",2009-12-01,1
"Prince Edward Island",2010-01-01,1
"Prince Edward Island",2010-02-01,2
"Prince Edward Island",2010-03-01,2
"Prince Edward Island",2010-04-01,1
"Prince Edward Island",2010-05-01,0
"Prince Edward Island",2010-06-01,2
"Prince Edward Island",2010-07-01,2
"Prince Edward Island",2010-08-01,3
"Prince Edward Island",2010-09-01,0
"Prince Edward Island",2010-10-01,7
"Prince Edward Island",2010-11-01,1
"Prince Edward Island",2010-12-01,1
"Prince Edward Island",2011-01-01,0
"Prince Edward Island",2011-02-01,1
"Prince Edward Island",2011-03-01,2
"Prince Edward Island",2011-04-01,2
"Prince Edward Island",2011-05-01,1
"Prince Edward Island",2011-06-01,1
"Prince Edward Island",2011-07-01,1
"Prince Edward Island",2011-08-01,1
"Prince Edward Island",2011-09-01,2
"Prince Edward Island",2011-10-01,4
"Prince Edward Island",2011-11-01,2
"Prince Edward Island",2011-12-01,0
"Prince Edward Island",2012-01-01,3
"Prince Edward Island",2012-02-01,4
"Prince Edward Island",2012-03-01,3
"Prince Edward Island",2012-04-01,0
"Prince Edward Island",2012-05-01,0
"Prince Edward Island",2012-06-01,3
"Prince Edward Island",2012-07-01,1
"Prince Edward Island",2012-08-01,1
"Prince Edward Island",2012-09-01,1
"Prince Edward Island",2012-10-01,0
"Prince Edward Island",2012-11-01,0
"Prince Edward Island",2012-12-01,1
"Prince Edward Island",2013-01-01,3
"Prince Edward Island",2013-02-01,3
"Prince Edward Island",2013-03-01,0
"Prince Edward Island",2013-04-01,2
"Prince Edward Island",2013-05-01,0
"Prince Edward Island",2013-06-01,1
"Prince Edward Island",2013-07-01,0
"Prince Edward Island",2013-08-01,4
"Prince Edward Island",2013-09-01,4
"Prince Edward Island",2013-10-01,2
"Prince Edward Island",2013-11-01,1
"Prince Edward Island",2013-12-01,3
"Prince Edward Island",2014-01-01,0
"Prince Edward Island",2014-02-01,0
"Prince Edward Island",2014-03-01,3
"Prince Edward Island",2014-04-01,0
"Prince Edward Island",2014-05-01,1
"Prince Edward Island",2014-06-01,5
"Prince Edward Island",2014-07-01,4
"Prince Edward Island",2014-08-01,0
"Prince Edward Island",2014-09-01,1
"Prince Edward Island",2014-10-01,0
"Prince Edward Island",2014-11-01,2
"Prince Edward Island",2014-12-01,2
"Prince Edward Island",2015-01-01,1
"Prince Edward Island",2015-02-01,1
"Prince Edward Island",2015-03-01,2
"Prince Edward Island",2015-04-01,3
"Prince Edward Island",2015-05-01,2
"Prince Edward Island",2015-06-01,1
"Prince Edward Island",2015-07-01,2
"Prince Edward Island",2015-08-01,0
"Prince Edward Island",2015-09-01,1
"Prince Edward Island",2015-10-01,2
"Prince Edward Island",2015-11-01,1
"Prince Edward Island",2015-12-01,0
"Prince Edward Island",2016-01-01,0
"Prince Edward Island",2016-02-01,0
"Prince Edward Island",2016-03-01,1
"Prince Edward Island",2016-04-01,4
"Prince Edward Island",2016-05-01,2
"Prince Edward Island",2016-06-01,2
"Prince Edward Island",2016-07-01,1
"Prince Edward Island",2016-08-01,0
"Prince Edward Island",2016-09-01,2
"Prince Edward Island",2016-10-01,0
"Prince Edward Island",2016-11-01,0
"Prince Edward Island",2016-12-01,1
"Prince Edward Island",2017-01-01,1
"Prince Edward Island",2017-02-01,1
"Prince Edward Island",2017-03-01,4
"Prince Edward Island",2017-04-01,0
"Prince Edward Island",2017-05-01,2
"Prince Edward Island",2017-06-01,2
"Prince Edward Island",2017-07-01,0
"Prince Edward Island",2017-08-01,1
"Prince Edward Island",2017-09-01,1
"Prince Edward Island",2017-10-01,0
"Prince Edward Island",2017-11-01,0
"Prince Edward Island",2017-12-01,0
"Prince Edward Island",2018-01-01,1
"Prince Edward Island",2018-02-01,0
"Prince Edward Island",2018-03-01,0
"Prince Edward Island",2018-04-01,0
"Prince Edward Island",2018-05-01,0
"Prince Edward Island",2018-06-01,1
"Prince Edward Island",2018-07-01,0
"Prince Edward Island",2018-08-01,1
"Prince Edward Island",2018-09-01,1
"Prince Edward Island",2018-10-01,0
"Prince Edward Island",2018-11-01,0
"Prince Edward Island",2018-12-01,0
"Prince Edward Island",2019-01-01,0
"Prince Edward Island",2019-02-01,0
"Prince Edward Island",2019-03-01,0
"Prince Edward Island",2019-04-01,3
"Prince Edward Island",2019-05-01,2
"Prince Edward Island",2019-06-01,0
"Prince Edward Island",2019-07-01,0
"Prince Edward Island",2019-08-01,0
"Prince Edward Island",2019-09-01,2
"Prince Edward Island",2019-10-01,0
"Prince Edward Island",2019-11-01,1
"Prince Edward Island",2019-12-01,2
"Prince Edward Island",2020-01-01,1
"Prince Edward Island",2020-02-01,0
"Prince Edward Island",2020-03-01,0
"Prince Edward Island",2020-04-01,1
"Prince Edward Island",2020-05-01,0
"Prince Edward Island",2020-06-01,0
"Prince Edward Island",2020-07-01,0
"Prince Edward Island",2020-08-01,0
"Prince Edward Island",2020-09-01,0
"Prince Edward Island",2020-10-01,0
"Prince Edward Island",2020-11-01,0
"Prince Edward Island",2020-12-01,0
"Prince Edward Island",2021-01-01,0
"Prince Edward Island",2021-02-01,0
"Prince Edward Island",2021-03-01,0
"Prince Edward Island",2021-04-01,0
"Prince Edward Island",2021-05-01,0
"Prince Edward Island",2021-06-01,0
"Prince Edward Island",2021-07-01,1
"Prince Edward Island",2021-08-01,1
"Prince Edward Island",2021-09-01,0
"Prince Edward Island",2021-10-01,0
"Prince Edward Island",2021-11-01,1
"Prince Edward Island",2021-12-01,1
"Prince Edward Island",2022-01-01,1
"Prince Edward Island",2022-02-01,0
"Prince Edward Island",2022-03-01,0
"Prince Edward Island",2022-04-01,0
"Prince Edward Island",2022-05-01,0
"Prince Edward Island",2022-06-01,0
"Prince Edward Island",2022-07-01,0
"Prince Edward Island",2022-08-01,0
"Prince Edward Island",2022-09-01,0
"Prince Edward Island",2022-10-01,0
"Prince Edward Island",2022-11-01,0
"Prince Edward Island",2022-12-01,2
"Prince Edward Island",2023-01-01,0
"Prince Edward Island",2023-02-01,0
"Prince Edward Island",2023-03-01,0
"Prince Edward Island",2023-04-01,0
"Prince Edward Island",2023-05-01,1
"Prince Edward Island",2023-06-01,0
"Prince Edward Island",2023-07-01,0
"Prince Edward Island",2023-08-01,0
"Prince Edward Island",2023-09-01,0
"Prince Edward Island",2023-10-01,0
"Prince Edward Island",2023-11-01,0
"Prince Edward Island",2023-12-01,0
"Prince Edward Island",2024-01-01,2
"Prince Edward Island",2024-02-01,0
"Prince Edward Island",2024-03-01,2
"Prince Edward Island",2024-04-01,1
"Prince Edward Island",2024-05-01,2
"Prince Edward Island",2024-06-01,1
"Prince Edward Island",2024-07-01,1
"Prince Edward Island",2024-08-01,0
"Prince Edward Island",2024-09-01,0
"Prince Edward Island",2024-10-01,0
"Prince Edward Island",2024-11-01,1
"Prince Edward Island",2024-12-01,2
"Prince Edward Island",2025-01-01,1
"Prince Edward Island",2025-02-01,0
"Prince Edward Island",2025-03-01,0
"Prince Edward Island",2025-04-01,0
"Prince Edward Island",2025-05-01,1
"Nova Scotia",2000-01-01,28
"Nova Scotia",2000-02-01,36
"Nova Scotia",2000-03-01,47
"Nova Scotia",2000-04-01,39
"Nova Scotia",2000-05-01,44
"Nova Scotia",2000-06-01,27
"Nova Scotia",2000-07-01,29
"Nova Scotia",2000-08-01,25
"Nova Scotia",2000-09-01,27
"Nova Scotia",2000-10-01,43
"Nova Scotia",2000-11-01,32
"Nova Scotia",2000-12-01,25
"Nova Scotia",2001-01-01,31
"Nova Scotia",2001-02-01,36
"Nova Scotia",2001-03-01,50
"Nova Scotia",2001-04-01,34
"Nova Scotia",2001-05-01,46
"Nova Scotia",2001-06-01,50
"Nova Scotia",2001-07-01,24
"Nova Scotia",2001-08-01,41
"Nova Scotia",2001-09-01,31
"Nova Scotia",2001-10-01,37
"Nova Scotia",2001-11-01,36
"Nova Scotia",2001-12-01,27
"Nova Scotia",2002-01-01,27
"Nova Scotia",2002-02-01,32
"Nova Scotia",2002-03-01,49
"Nova Scotia",2002-04-01,31
"Nova Scotia",2002-05-01,30
"Nova Scotia",2002-06-01,29
"Nova Scotia",2002-07-01,19
"Nova Scotia",2002-08-01,30
"Nova Scotia",2002-09-01,22
"Nova Scotia",2002-10-01,19
"Nova Scotia",2002-11-01,27
"Nova Scotia",2002-12-01,22
"Nova Scotia",2003-01-01,29
"Nova Scotia",2003-02-01,33
"Nova Scotia",2003-03-01,32
"Nova Scotia",2003-04-01,33
"Nova Scotia",2003-05-01,34
"Nova Scotia",2003-06-01,30
"Nova Scotia",2003-07-01,25
"Nova Scotia",2003-08-01,14
"Nova Scotia",2003-09-01,12
"Nova Scotia",2003-10-01,28
"Nova Scotia",2003-11-01,15
"Nova Scotia",2003-12-01,22
"Nova Scotia",2004-01-01,25
"Nova Scotia",2004-02-01,21
"Nova Scotia",2004-03-01,25
"Nova Scotia",2004-04-01,24
"Nova Scotia",2004-05-01,25
"Nova Scotia",2004-06-01,24
"Nova Scotia",2004-07-01,25
"Nova Scotia",2004-08-01,21
"Nova Scotia",2004-09-01,25
"Nova Scotia",2004-10-01,21
"Nova Scotia",2004-11-01,29
"Nova Scotia",2004-12-01,18
"Nova Scotia",2005-01-01,13
"Nova Scotia",2005-02-01,35
"Nova Scotia",2005-03-01,39
"Nova Scotia",2005-04-01,38
"Nova Scotia",2005-05-01,14
"Nova Scotia",2005-06-01,26
"Nova Scotia",2005-07-01,23
"Nova Scotia",2005-08-01,19
"Nova Scotia",2005-09-01,22
"Nova Scotia",2005-10-01,21
"Nova Scotia",2005-11-01,25
"Nova Scotia",2005-12-01,26
"Nova Scotia",2006-01-01,27
"Nova Scotia",2006-02-01,17
"Nova Scotia",2006-03-01,27
"Nova Scotia",2006-04-01,24
"Nova Scotia",2006-05-01,16
"Nova Scotia",2006-06-01,15
"Nova Scotia",2006-07-01,24
"Nova Scotia",2006-08-01,13
"Nova Scotia",2006-09-01,30
